Date,Open,High,Low,Close,Volume,OpenInt
20140825,4.85,4.9,4.53,4.65,89199,0
20140826,4.6,4.7,4.53,4.57,34015,0
20140827,4.7,4.7,4.51,4.6,28269,0
20140828,4.7,4.7,4.55,4.55,10605,0
20140829,4.5,4.6,4.5,4.5,17317,0
20140902,4.66,4.6999,4.25,4.5,17926,0
20140903,4.5101,4.5101,4,4.42,27149,0
20140904,4.4,4.5,4.4,4.5,9773,0
20140905,4.57,4.57,4.05,4.45,25286,0
20140908,4.55,4.57,4.3,4.49,11466,0
20140909,4.4459,4.5,4.401,4.48,2747,0
20140910,4.4,4.5,4.4,4.4539,16750,0
20140911,4.5,4.5,4.25,4.3459,9743,0
20140912,4.3982,4.4,4.351,4.351,9334,0
20140915,4.5,4.5,4.31,4.45,4387,0
20140916,4.5,4.55,4.2501,4.2601,18209,0
20140917,4.27,4.4,4.14,4.4,23142,0
20140918,4.45,4.47,4.3,4.3,4700,0
20140919,4.4,4.41,4.25,4.3501,21711,0
20140922,4.3036,4.45,4.3036,4.4,30760,0
20140923,4.3001,4.4,4.15,4.3877,18301,0
20140924,4.41,4.52,4.3653,4.42,40229,0
20140925,4.3525,4.4,4.26,4.3064,10802,0
20140926,4.3,4.5,4.3,4.5,22305,0
20140929,4.379,4.4,4.379,4.3801,2606,0
20140930,4.35,4.3574,4.35,4.35,5000,0
20141001,4.3501,4.42,4.214,4.3799,39790,0
20141002,4.38,4.7,4.15,4.63,211249,0
20141003,4.85,5.25,4.17,4.25,3393079,0
20141006,4.18,4.64,3.75,4.6,623364,0
20141007,4.48,4.48,4,4.28,100208,0
20141008,4.3,4.3,3.7,3.85,126151,0
20141009,3.82,3.94,3.74,3.79,40791,0
20141010,3.9499,3.95,3.345,3.8,56006,0
20141013,3.63,3.829,3.33,3.67,30931,0
20141014,3.59,3.59,3.17,3.28,91258,0
20141015,3.2243,3.3442,2.95,3.1,60121,0
20141016,3.11,3.25,3.05,3.05,85807,0
20141017,3.08,3.39,3.0605,3.23,71120,0
20141020,3.48,3.53,3.25,3.25,19431,0
20141021,3.37,3.47,3.29,3.39,17057,0
20141022,3.44,3.44,3.25,3.3199,20733,0
20141023,3.33,3.8,3.2501,3.65,115855,0
20141024,3.8,4.2,3.8,4.1,109016,0
20141027,3.99,4.25,3.65,4.02,61953,0
20141028,4.17,4.3,4.02,4.3,59056,0
20141029,4.27,4.34,4.04,4.29,161476,0
20141030,4.19,4.3299,4,4.32,39546,0
20141031,4.265,4.32,4.0901,4.29,78536,0
20141103,4.25,4.31,4.02,4.05,36000,0
20141104,4.03,4.217,4,4.08,23572,0
20141105,4.24,4.24,3.9,4.046,56906,0
20141106,4.09,4.15,3.89,4.15,83851,0
20141107,4.17,4.25,4.17,4.2,21324,0
20141110,4.17,4.2,3.92,3.99,38301,0
20141111,4.03,4.2,3.95,4.1,81835,0
20141112,4.13,4.28,3.98,4.02,84439,0
20141113,4.05,4.1,3.95,4,81041,0
20141114,4.1,4.1,3.99,4.06,88045,0
20141117,4.179,4.179,3.86,3.86,118637,0
20141118,3.89,4.189,3.89,3.89,41193,0
20141119,3.98,3.98,3.84,3.872,3467,0
20141120,4.15,4.15,3.66,3.83,38403,0
20141121,3.9,4.003,3.85,3.98,32233,0
20141124,3.99,4.02,3.68,3.72,38166,0
20141125,3.72,4.02,3.6701,3.8,83414,0
20141126,4.03,4.03,3.71,3.96,39438,0
20141128,3.87,3.9,3.7,3.76,52320,0
20141201,3.77,3.929,3.6,3.7,56568,0
20141202,3.65,3.7,3.42,3.53,127157,0
20141203,3.53,3.9,3.48,3.5,178685,0
20141204,3.64,3.73,3.48,3.5,221833,0
20141205,3.46,3.64,3.4,3.505,47601,0
20141208,3.44,3.6099,3.44,3.49,25376,0
20141209,3.38,3.63,3.38,3.59,22093,0
20141210,3.55,3.58,3.38,3.49,55786,0
20141211,3.29,3.569,3.29,3.54,23999,0
20141212,3.49,3.58,3.36,3.51,13130,0
20141215,3.5,3.72,3.4499,3.5,30190,0
20141216,3.46,3.54,3.25,3.32,130752,0
20141217,3.35,3.474,3.1587,3.26,487037,0
20141218,3.49,3.5,3.1784,3.18,33706,0
20141219,3.48,3.49,3.1,3.16,62735,0
20141222,3.2,3.5,3.2,3.45,14891,0
20141223,3.45,3.45,3.21,3.33,26441,0
20141224,3.32,3.37,3.25,3.3,10260,0
20141226,3.31,3.339,3.2,3.23,8387,0
20141229,3.24,3.36,3.1,3.2,12653,0
20141230,3.22,3.4,3.103,3.15,84938,0
20141231,3.21,3.28,2.85,3,298105,0
20150102,3.05,3.33,2.95,3.19,24420,0
20150105,3.27,3.49,3.17,3.33,22989,0
20150106,3.368,3.469,3.3,3.395,22345,0
20150107,3.45,3.45,3.1,3.33,10283,0
20150108,3.34,3.405,3.11,3.35,19347,0
20150109,3.44,3.612,3.34,3.53,64624,0
20150112,3.67,3.68,3.41,3.62,33567,0
20150113,3.66,3.68,3.48,3.655,12401,0
20150114,3.48,3.64,3.48,3.64,6702,0
20150115,3.4,3.59,3.4,3.57,4761,0
20150116,3.36,3.578,3.35,3.495,3108,0
