Date,Open,High,Low,Close,Volume,OpenInt
20130920,15,15,13.99,14.09,2731254,0
20130923,14.75,14.75,14.01,14.3,259788,0
20130924,14.5,14.6,14.1,14.37,65700,0
20130925,14.55,14.94,14.3,14.5,101443,0
20130926,14.48,15.1,14.26,14.75,141500,0
20130927,14.65,15,14.26,14.65,180248,0
20130930,14.85,14.96,14,14.12,175300,0
20131001,14.45,14.99,14.1,14.67,114400,0
20131002,14.38,14.8,14.36,14.74,97200,0
20131003,14.9,15.1,14.53,14.9,93700,0
20131004,15.05,15.19,14.8,15.04,75600,0
20131007,15.15,15.15,14.81,15.09,18600,0
20131008,14.94,15.17,14.51,14.65,33300,0
20131009,14.98,14.98,14.14,14.5,52305,0
20131010,14.95,15,14.65,14.89,41268,0
20131011,15.1,15.38,14.62,15.31,95839,0
20131014,15.49,15.49,14.68,15.27,48069,0
20131015,15.78,15.89,14.76,15.1,285302,0
20131016,15.2,15.2,14.4,14.55,152300,0
20131017,14.83,15.2,14.5,15,288500,0
20131018,15.34,15.34,15,15,58700,0
20131021,15.15,15.45,14.9,15.06,14100,0
20131022,14.75,15.13,14.75,15,7600,0
20131023,14.77,15.04,14.77,15,26300,0
20131024,15,15.13,14.9,14.9,40200,0
20131025,14.88,15.13,14.7,14.9,29042,0
20131028,15.01,15.04,14.4,14.54,59900,0
20131029,14.53,14.59,12.79,14.2,77300,0
20131030,14,14.25,13.25,13.32,62000,0
20131031,13.3,14,12.83,13.09,81418,0
20131101,13.4,13.45,12.12,12.66,46800,0
20131104,12.74,13.59,12.5,13,13904,0
20131105,12.94,13.51,12.5,12.5,18500,0
20131106,12.8,13.43,11.01,11.85,42000,0
20131107,12.16,12.16,11.15,11.16,25500,0
20131108,11.61,11.61,10.11,10.23,79500,0
20131111,10.02,10.2,9.35,9.71,108580,0
20131112,9.51,9.75,9.22,9.5,96800,0
20131113,9.46,9.88,9.3,9.42,98100,0
20131114,9.12,9.88,9.11,9.18,87300,0
20131115,9.11,9.11,8.5,8.7,176600,0
20131118,8.8,9.1,8.66,8.94,128500,0
20131119,8.91,8.9799,8.6,8.8,95656,0
20131120,9.19,9.19,8.36,8.64,178700,0
20131121,8.87,8.87,8.41,8.49,92100,0
20131122,9.02,9.4,8.73,9,253814,0
20131125,9.34,9.35,8.9,9.02,196600,0
20131126,9.02,9.1,8.9,8.97,156500,0
20131127,9.07,9.69,8.98,9.35,240300,0
20131129,9.78,9.78,9.15,9.2,54699,0
20131202,9.48,9.86,9.25,9.33,129200,0
20131203,9.56,9.75,9,9.53,228705,0
20131204,9.5,11.22,9.31,10.92,306600,0
20131205,11.16,11.47,10.74,11.28,141100,0
20131206,11.34,11.72,10.82,11.37,74600,0
20131209,11.5,12.75,11.5,12.34,226098,0
20131210,12.4,12.97,12,12.88,118800,0
20131211,12.73,13.33,12.51,12.7,72000,0
20131212,12.45,12.8,11.25,11.77,109199,0
20131213,11.77,13.15,11.35,12.9,85200,0
20131216,13.05,13.66,12.94,13.47,307321,0
20131217,13.9,14.84,13.45,14.38,233700,0
20131218,14.62,15.58,14.07,15.09,168900,0
20131219,15.33,15.48,14.85,15.1,82200,0
20131220,15.16,15.35,14.5,15.27,797000,0
20131223,15.09,15.77,14.75,14.88,115000,0
20131224,14.81,15.35,13.58,13.75,157237,0
20131226,13.75,15.5,13.75,15.4,101800,0
20131227,15.49,15.49,14.41,14.83,48100,0
20131230,14.87,15.07,14.75,14.96,48300,0
20131231,15.08,15.25,14.75,15.09,46300,0
20140102,15.1,15.21,14.76,14.99,60109,0
20140103,14.93,15,14.13,14.46,57400,0
20140106,14.32,14.65,13.48,14.08,112200,0
20140107,13.88,14.31,13.5,14.23,114700,0
20140108,14,14.06,12.62,13.35,199300,0
20140109,12.97,13.36,12.48,12.52,170500,0
20140110,12.48,12.48,11.17,11.5,373500,0
20140113,11.5,11.66,11,11.08,185000,0
20140114,11.08,11.29,10.82,10.93,163200,0
20140115,10.75,11.5,10.68,11.26,161100,0
20140116,11.45,13,11.13,12.9,285100,0
20140117,12.9,14.14,12.68,13.4,212500,0
20140121,13.6,14.43,13.32,14.2,167500,0
20140122,14.28,14.55,13.26,13.6,99800,0
20140123,13.62,14.14,13.43,13.93,37800,0
20140124,13.83,13.93,12.85,13.83,85400,0
20140127,13.77,13.8,12.92,13.04,132400,0
20140128,12.79,13.85,12.62,12.73,177700,0
