Date,Open,High,Low,Close,Volume,OpenInt
20141120,0.85,0.87,0.8,0.8,7375,0
20141121,0.82,0.9265,0.797,0.9265,19465,0
20141124,0.831,0.831,0.67,0.72,15200,0
20141125,1.21,1.21,0.7,0.7,33600,0
20141126,0.75,0.78,0.75,0.78,1100,0
20141128,0.78,0.85,0.6995,0.6995,9300,0
20141201,0.73,0.73,0.65,0.65,11150,0
20141202,0.689,0.84,0.689,0.84,32150,0
20141203,0.8,0.9,0.7801,0.9,18864,0
20141204,1.04,1.15,0.8301,0.95,46650,0
20141205,1.1,1.1,1,1.03,13400,0
20141208,1.1,1.15,1,1,34521,0
20141209,1,1.0649,1,1,6290,0
20141210,1.0762,1.0762,1,1.05,3356,0
20141211,1.03,1.04,1,1.0109,14900,0
20141212,1.03,1.05,0.98,1.05,14864,0
20141215,1.06,1.12,1.02,1.1,25600,0
20141216,1.1,1.294,1.1,1.11,30622,0
20141217,1.1,1.12,1.07,1.07,18030,0
20141218,1.14,1.2,1.1,1.2,7900,0
20141219,1.239,1.239,1.229,1.23,6033,0
20141222,1.25,1.25,1.15,1.15,14492,0
20141223,1.12,1.29,1.12,1.29,7160,0
20141224,1.25,1.25,1.2012,1.24,370,0
20141226,1.22,1.22,1.16,1.22,9900,0
20141229,1.2,1.23,1.2,1.23,800,0
20141231,1.21,1.21,1.21,1.21,100,0
20150102,1.12,1.1201,1.12,1.1201,5500,0
20150105,1.22,1.22,1.12,1.14,6484,0
20150106,1.14,1.19,1.07,1.14,19601,0
20150107,1.21,1.21,1.14,1.21,5554,0
20150108,1.17,1.17,1.15,1.16,7200,0
20150109,1.17,1.18,1.17,1.18,400,0
20150114,1.07,1.22,1.07,1.2,15796,0
20150115,1.07,1.2,0.8025,1.2,29250,0
20150116,1.08,1.17,1.02,1.17,11800,0
