Date,Open,High,Low,Close,Volume,OpenInt
20111220,0.85,0.85,0.85,0.85,500,0
20111222,0.85,0.85,0.75,0.75,7499,0
20111227,0.7,0.7,0.7,0.7,600,0
20111228,0.75,0.8,0.75,0.75,6000,0
20120104,0.75,0.75,0.75,0.75,7400,0
20120105,0.7,0.7,0.7,0.7,2000,0
20120111,0.85,0.98,0.83,0.9,10852,0
20120112,0.98,1.02,0.98,1.02,12250,0
20120113,1.04,1.05,1,1.04,25471,0
20120117,1.06,1.2,1.06,1.11,22118,0
20120118,1.15,1.15,1.07,1.09,19900,0
20120119,1.18,1.2,1.18,1.2,4501,0
20120120,1.2,1.2,1.2,1.2,20918,0
20120123,1.15,1.15,1.15,1.15,10000,0
20120124,1.1,1.1,1,1,3000,0
20120125,1.1,1.17,1.1,1.17,401,0
20120127,1.18,1.19,1.15,1.19,29800,0
20120131,1.15,1.2,1.15,1.2,28500,0
20120201,1.13,1.2,1.12,1.12,11250,0
20120202,1.2,1.2,1.13,1.2,4200,0
20120203,1.2,1.2,1.2,1.2,1200,0
20120206,1.3,1.37,1.25,1.28,20050,0
20120207,1.5,1.5,1.5,1.5,698,0
20120208,1.33,1.35,1.22,1.28,6600,0
20120209,1.35,1.65,1.35,1.55,15567,0
20120210,1.41,1.41,1.34,1.41,800,0
20120213,1.56,1.65,1.42,1.64,3140,0
20120214,1.55,1.55,1.55,1.55,1900,0
20120215,1.6,1.64,1.57,1.6,15221,0
20120217,1.55,1.55,1.5,1.5,9961,0
20120221,1.55,1.6,1.55,1.6,6000,0
20120222,1.51,1.7,1.51,1.51,1976,0
20120223,1.51,1.65,1.51,1.65,4000,0
20120228,1.66,1.67,1.66,1.67,200,0
20120229,1.63,1.7,1.56,1.56,4400,0
20120305,1.51,1.52,1.37,1.45,12439,0
20120307,1.47,1.5,1.47,1.49,7900,0
20120308,1.51,1.51,1.2,1.4,28300,0
20120309,1.33,1.69,1.33,1.34,5559,0
20120312,1.39,1.59,1.39,1.59,780,0
20120313,1.45,1.45,1.33,1.45,13700,0
20120314,1.42,1.42,1.42,1.42,1000,0
20120315,1.32,1.37,1.29,1.3,40000,0
20120319,1.39,1.47,1.39,1.47,2200,0
20120320,1.3,1.45,1.3,1.42,3350,0
20120321,1.45,1.45,1.44,1.45,2200,0
20120322,1.45,1.45,1.45,1.45,32200,0
20120323,1.46,1.46,1.43,1.45,22200,0
20120326,1.45,1.45,1.39,1.45,11975,0
20120327,1.4,1.41,1.4,1.41,73080,0
20120328,1.41,1.41,1.41,1.41,2187,0
20120330,1.5,1.5,1.495,1.5,1000,0
20120409,1.5,1.65,1.5,1.65,6074,0
20120410,1.52,1.53,1.5,1.53,4600,0
20120412,1.59,1.59,1.59,1.59,600,0
20120423,1.57,1.57,1.51,1.51,3070,0
20120424,1.67,2.06,1.62,2,54811,0
20120425,2.22,2.23,1.81,1.95,8420,0
20120426,1.99,2.3,1.99,2.3,10619,0
20120427,2.9,2.93,2.29,2.8,29639,0
20120430,3.3,3.41,2.77,2.95,20901,0
20120501,3,3.05,2.68,2.94,7428,0
20120502,2.72,2.89,2.72,2.88,900,0
20120503,2.67,2.7,2.33,2.7,4650,0
20120504,2.1,2.2,1.8,2.15,19216,0
20120507,2.48,2.48,1.91,2.07,5474,0
20120508,2,2,2,2,8000,0
20120509,1.76,2.05,1.76,2.05,8305,0
20120510,1.95,2.14,1.95,2.14,441,0
20120511,2.16,2.23,2.14,2.2,7218,0
20120514,2.1,2.13,2,2.13,6000,0
20120515,2.15,2.16,2.15,2.16,3000,0
20120516,2.16,2.23,1.99,2.04,33290,0
20120517,2,2,2,2,1000,0
20120521,2.01,2.01,1.8,1.98,3670,0
20120522,1.85,1.85,1.85,1.85,1000,0
20120523,1.95,2,1.95,2,1400,0
20120524,2,2.1,2,2.1,1888,0
20120525,2.15,2.15,2.15,2.15,2100,0
20120530,2.19,2.22,2.19,2.19,600,0
20120531,2.0501,2.2,2.0501,2.2,2300,0
20120601,2.03,2.05,1.98,2,31396,0
20120604,2.1,2.24,2.1,2.14,4340,0
20120605,2.15,2.15,2.15,2.15,160,0
20120606,2,2.2,1.81,2.08,3600,0
20120611,2.04,2.09,1.91,2.09,2250,0
20120613,2.2,2.2,2.18,2.18,1750,0
20120614,2.2,2.2,2.2,2.2,600,0
20120619,2.25,2.42,1.85,2.42,11942,0
20120622,2.38,2.6,2.1,2.29,8700,0
20120625,2.17,2.17,2.1,2.1,1380,0
20120626,2.1,2.1,2.1,2.1,200,0
20120627,2.14,2.14,2.14,2.14,100,0
20120628,2.1,2.1,2.05,2.09,1200,0
20120629,2.11,2.12,2.11,2.11,2500,0
20120702,2.14,2.14,2.14,2.14,134,0
20120706,2,2.02,2,2.02,1100,0
20120709,2.01,2.02,2.01,2.02,1800,0
20120711,2,2.03,2,2.03,1500,0
20120713,2.03,2.1,2.03,2.1,3437,0
20120719,1.85,2.4,1.85,2.1,3900,0
20120720,2.1,2.1,2.1,2.1,1638,0
20120723,2.35,2.35,1.85,2.05,2125,0
20120724,2.07,2.11,2.07,2.08,5500,0
20120725,2.1,2.2,2.1,2.2,975,0
20120726,2.12,2.12,1.87,1.87,10000,0
20120730,1.9,2,1.9,1.95,2575,0
20120801,1.92,1.92,1.85,1.85,6925,0
20120806,2.54,4.49,2.03,2.23,23898,0
20120807,2.32,2.4,2.01,2.29,9665,0
20120808,2.48,2.48,2.25,2.25,800,0
20120809,2.32,2.3499,2.3,2.3499,300,0
20120810,2.32,2.32,2.32,2.32,100,0
20120813,2.29,2.29,2.29,2.29,100,0
20120815,2.1,2.12,1.62,2.05,21347,0
20120816,2.3599,2.36,1.85,2.3599,2400,0
20120817,2.4,2.4,2.38,2.4,3999,0
20120820,2,2.4,2,2.2501,2550,0
20120821,2.6499,2.6499,2.04,2.542,1011,0
20120822,2.7,2.7,2.43,2.45,400,0
20120823,2.4799,2.4799,2.4799,2.4799,100,0
20120824,2.5,2.5,2.5,2.5,150,0
20120827,2.3,2.4999,2.28,2.3,7072,0
20120828,2.45,2.451,1.85,2.2,75821,0
20120829,2.2332,2.2332,2.2,2.22,900,0
20120830,2.34,2.6,2.2,2.23,21920,0
20120831,2.23,2.4,2.23,2.4,2835,0
20120914,2.05,2.05,2.05,2.05,400,0
20120917,2.2,2.22,2.2,2.2,2000,0
20120918,2.02,2.15,2,2.15,1560,0
20120921,2.17,2.17,2.17,2.17,367,0
20120925,2.2,2.2,2.17,2.17,6500,0
20120928,2.2,2.2,2.1,2.2,6100,0
20121002,2.1,2.1,2.1,2.1,200,0
20121016,2.2,2.2,2.2,2.2,907,0
20121018,2.02,2.08,1.95,2.08,3600,0
20121022,2.1,2.1,2.05,2.05,2700,0
20121023,2,2,2,2,7600,0
20121025,1.99,1.99,1.97,1.99,2200,0
20121113,1.93,1.93,1.39,1.75,2840,0
20121114,1.9,1.9,1.8999,1.8999,1000,0
20121115,1.5,1.94,1.5,1.94,19743,0
20121116,1.71,1.8,1.71,1.8,1100,0
20121121,1.95,1.997,1.95,1.997,400,0
20121123,1.98,2,1.98,2,740,0
20121126,2.05,2.05,2.0499,2.05,2841,0
20121127,2.1,2.35,2.1,2.35,22521,0
20121128,2.4,2.4,2.39,2.39,5200,0
20121129,2.45,2.45,2.05,2.4,4900,0
20121130,2.45,2.5,2.45,2.5,1100,0
20121203,2.5,2.55,2.5,2.55,620,0
20121204,2.59,2.6,2.35,2.6,6300,0
20121205,2.5999,2.5999,2.5999,2.5999,100,0
20121206,2.25,2.55,2.25,2.5,3300,0
20121210,2.28,2.35,2.25,2.35,4000,0
20121211,2.34,2.399,2.34,2.399,2000,0
20121212,2.3501,2.3501,2.3501,2.3501,100,0
20121214,2.35,2.35,2.35,2.35,500,0
20121217,2.07,2.0701,2.07,2.07,2433,0
20121218,2.15,2.15,2.15,2.15,100,0
20121220,2.32,2.35,2.32,2.35,11035,0
20121224,2.08,2.08,2.08,2.08,1200,0
20121226,1.71,2.15,1.71,2.15,300,0
20121231,2.27,2.45,2.27,2.4,7100,0
20130102,3.04,3.43,2.5,2.88,69734,0
20130103,2.68,2.75,2.65,2.75,2200,0
20130107,2.48,2.77,2.25,2.7,278050,0
20130108,2.54,2.7199,2.53,2.7199,900,0
20130110,2.81,2.82,2.76,2.81,10400,0
20130114,2.92,2.92,2.92,2.92,200,0
20130115,2.9,2.9,2.7199,2.799,1803,0
20130116,2.92,2.94,2.92,2.94,384,0
20130118,2.879,2.879,2.67,2.78,2120,0
20130122,2.54,2.649,2.53,2.61,2900,0
20130124,2.5,2.66,2.38,2.66,6320,0
20130125,2.61,2.61,2.61,2.61,200,0
20130129,2.5,2.5,2.5,2.5,1117,0
20130201,2.5,3.36,2.5,2.8,6510,0
20130204,2.8,2.8,2.8,2.8,1900,0
20130205,2.7,2.99,2.7,2.9899,600,0
20130207,3,3.25,2.73,2.73,1445,0
20130208,2.95,2.95,2.95,2.95,200,0
20130212,2.49,2.8,2.49,2.7999,600,0
20130214,2.54,2.67,2.54,2.67,2445,0
20130221,2.5,2.6,2.5,2.58,7937,0
20130226,2.35,2.35,2.35,2.35,5000,0
20130227,2.25,2.35,2.25,2.35,1225,0
20130304,2.25,2.5,2.25,2.27,1500,0
20130305,2.37,2.79,2.29,2.7199,4600,0
20130307,2.45,2.67,2.45,2.65,1890,0
20130311,2.35,2.65,2.35,2.62,2100,0
20130313,2.5,2.5,2.5,2.5,1000,0
20130315,2.8,2.9,2.7,2.75,8504,0
20130318,2.67,2.9,2.45,2.8999,1200,0
20130320,2.8,2.8,2.71,2.7999,4700,0
20130326,2.524,2.746,2.524,2.746,650,0
20130328,2.68,2.8,2.68,2.75,9700,0
20130402,2.84,2.84,2.7899,2.8,4400,0
20130403,2.91,3.25,2.77,2.77,700,0
20130404,2.88,2.88,2.88,2.88,150,0
20130408,2.95,2.95,2.8,2.85,900,0
20130409,3,3.4499,3,3.36,20661,0
20130410,2.9,2.98,2.85,2.85,10984,0
20130411,2.79,2.79,2.51,2.56,13825,0
20130412,2.51,2.55,2.51,2.55,600,0
20130415,2.4501,2.4501,2.45,2.45,1499,0
20130417,2.36,2.36,2.35,2.35,1400,0
20130418,2.35,2.3501,2.35,2.35,1554,0
20130419,2.35,2.35,2.35,2.35,1200,0
20130422,2.27,2.27,2.27,2.27,2700,0
20130423,2.09,2.09,2.05,2.05,2900,0
20130424,2.04,2.2237,2.04,2.2237,1000,0
20130429,2.35,2.49,2.35,2.49,1500,0
20130430,2.39,2.39,2.39,2.39,500,0
20130501,2.81,2.8101,2.36,2.36,1010,0
20130502,2.05,2.05,2.05,2.05,400,0
20130503,2.35,2.35,2.35,2.35,1000,0
20130506,2.45,2.45,2.45,2.45,1000,0
20130508,1.47,2.25,1.47,2.25,3450,0
20130510,1.87,2.17,1.87,2.15,2920,0
20130513,2.22,2.28,2.22,2.28,1350,0
20130514,2.4,2.4,2.21,2.31,1738,0
20130517,2.35,2.35,2.33,2.35,2130,0
20130521,1.93,2.345,1.93,2.3,2215,0
20130522,2.25,2.25,2.25,2.25,1100,0
20130523,2.25,2.25,2.25,2.25,600,0
20130528,2.15,2.15,2.15,2.15,1000,0
20130531,2.06,2.06,2.06,2.06,775,0
20130603,2.25,2.25,2.25,2.25,100,0
20130604,2.18,2.2,2.18,2.2,2100,0
20130605,2.2,2.2,2.2,2.2,1500,0
20130606,2.29,2.29,2.2,2.2,1100,0
20130613,2.1,2.12,1.82,2.07,2300,0
20130614,1.91,2.04,1.91,2.04,520,0
20130619,1.94,1.94,1.83,1.83,1895,0
20130628,1.79,2,1.79,1.84,2300,0
20130701,1.95,1.95,1.95,1.95,500,0
20130705,1.82,1.82,1.75,1.8,5022,0
20130708,1.8,1.8,1.5,1.65,9838,0
20130709,1.69,1.8,1.69,1.8,15750,0
20130711,1.8,1.8,1.8,1.8,5100,0
20130715,1.88,1.88,1.88,1.88,100,0
20130716,2,2,2,2,100,0
20130722,1.9,1.99,1.9,1.99,4610,0
20130724,1.69,1.799,1.69,1.799,1500,0
20130802,1.99,2,1.99,2,10250,0
20130805,2.05,2.05,1.81,2.04,4738,0
20130814,2,2,1.85,1.949,1100,0
20130821,1.91,1.91,1.91,1.91,100,0
20130823,1.81,1.81,1.81,1.81,300,0
20130828,1.87,1.87,1.87,1.87,175,0
20130904,1.66,1.85,1.6,1.85,3860,0
20130905,1.85,1.85,1.8,1.84,1100,0
20130909,1.95,1.95,1.95,1.95,500,0
20130912,1.95,1.95,1.95,1.95,800,0
20130917,1.95,1.95,1.85,1.9499,2750,0
20130918,1.9,1.9,1.9,1.9,200,0
20130926,2,2,1.97,1.99,1600,0
20131002,1.78,1.95,1.78,1.95,300,0
20131007,1.6,1.6,1.6,1.6,100,0
20131008,1.67,1.75,1.67,1.75,900,0
20131010,1.64,1.65,1.64,1.65,2200,0
20131011,1.77,1.77,1.77,1.77,1000,0
20131014,1.65,1.65,1.6,1.65,1400,0
20131018,1.63,1.63,1.63,1.63,500,0
20131021,1.55,1.55,1.55,1.55,700,0
20131022,1.7,1.7,1.65,1.65,2000,0
20131025,1.6,1.6,1.56,1.56,900,0
20131028,1.51,1.51,1.39,1.49,17300,0
20131029,1.39,1.43,1.39,1.43,1300,0
20131030,1.45,1.45,1.43,1.43,4700,0
20131101,1.49,1.5,1.3,1.39,5900,0
20131104,1.39,1.39,1.39,1.39,2500,0
20131106,1.49,1.52,1.49,1.52,1500,0
20131108,1.5,1.5,1.5,1.5,500,0
20131112,1.36,1.5,1.36,1.5,1500,0
20131113,1.68,1.68,1.68,1.68,200,0
20131115,1.53,1.57,1.53,1.57,200,0
20131118,1.52,1.55,1.52,1.55,300,0
20131120,1.47,1.47,1.45,1.47,1000,0
20131121,1.63,1.64,1.63,1.64,400,0
20131122,1.7,1.7,1.7,1.7,1400,0
20131127,1.52,1.52,1.52,1.52,100,0
20131202,1.55,1.55,1.55,1.55,300,0
20131212,1.43,1.43,1.42,1.43,800,0
20131223,1.86,1.91,1.5885,1.6575,19434,0
20131224,1.85,1.85,1.85,1.85,600,0
20131226,1.85,1.95,1.85,1.92,8100,0
20131227,1.96,2.1,1.96,2.1,5200,0
20131230,2.01,2.1,2,2.1,11800,0
20131231,2.38,2.38,2.07,2.15,5900,0
20140102,2.15,2.16,2.01,2.15,5965,0
