Date,Open,High,Low,Close,Volume,OpenInt
20140522,15,16.04,14,15,2209745,0
20140523,15.12,15.94,15.11,15.55,202416,0
20140527,15.32,16.66,15,15.35,75043,0
20140528,15.3,15.6,15,15.14,74343,0
20140529,15.19,15.6,15.12,15.4,29600,0
20140530,15.73,15.82,15.4,15.4,52478,0
20140602,15.48,16.08,15.3,15.52,20546,0
20140603,15.54,15.79,15.31,15.47,38262,0
20140604,15.47,15.99,15.4,15.51,29169,0
20140605,15.53,15.76,15.52,15.6,26675,0
20140606,15.88,16.92,15.38,16.62,68393,0
20140609,17.47,17.47,16.11,16.65,38288,0
20140610,16.5,18.05,16.02,17.76,24200,0
20140611,17.36,18,16.96,17.25,102333,0
20140612,17.07,17.676,17.07,17.42,56355,0
20140613,17.5,17.5,17.06,17.39,82484,0
20140616,17.29,17.75,16.62,17.28,96576,0
20140617,17.53,17.53,16.84,17.21,69540,0
20140618,17.11,17.35,17.1,17.1,47621,0
20140619,17.3,17.804,17.11,17.11,42877,0
20140620,17.24,17.36,17.1,17.25,49686,0
20140623,17.28,17.55,17.04,17.04,57320,0
20140624,17,17.1,16.9,17.03,25827,0
20140625,16.96,17.76,16.701,17,21896,0
20140626,17.26,17.5,16.7,16.99,40666,0
20140627,17.08,17.25,16.73,16.75,8289,0
20140630,17.99,17.99,16.8,16.93,29240,0
20140701,16.99,17.4,16.82,17.18,35486,0
20140702,17.2,17.95,17.2,17.27,29100,0
20140703,17.52,17.79,17.27,17.79,11575,0
20140707,17.71,18.68,17.71,17.87,29588,0
20140708,18.2,18.2,17.2,17.49,33490,0
20140709,17.36,17.78,17.1,17.46,22393,0
20140710,17.11,17.466,17.11,17.33,10397,0
20140711,17.26,17.96,17.11,17.48,27537,0
20140714,17.65,18.01,16.51,16.6,80734,0
20140715,16.61,18.17,16.61,17,73806,0
20140716,17.14,18.1,17.14,17.9,46928,0
20140717,17.85,18.242,17.7,17.75,76771,0
20140718,17.82,17.9,17.37,17.69,53109,0
20140721,17.71,18.28,17.13,17.39,20135,0
20140722,17.45,17.81,17.44,17.52,6986,0
20140723,17.5,17.77,17.17,17.25,14867,0
20140724,16.99,17.679,16.68,17.21,14051,0
20140725,17.19,17.78,17.19,17.36,13079,0
20140728,17.48,17.48,16.8,17,16187,0
20140729,16.99,17.25,16.772,16.94,13489,0
20140730,17.01,17.28,16.97,16.98,13089,0
20140731,16.99,17.3,16.55,16.9,48339,0
20140801,16.9,17.3,16.5,17.14,41568,0
20140804,17.07,17.3,16.66,17.06,24838,0
20140805,17.14,17.3,16.7,16.75,15030,0
20140806,16.84,17.02,15.75,16.5,26217,0
20140807,16.68,16.8,15.77,16.19,14773,0
20140808,16.13,16.46,15.23,15.51,9532,0
20140811,15.65,15.96,15.579,15.9,3976,0
20140812,15.94,16.3,15.53,15.7,27922,0
20140813,16.14,16.47,15.27,15.64,19420,0
20140814,15.75,16.55,15.63,15.8,9732,0
20140815,17.26,17.49,16.38,16.5,55367,0
20140818,17.34,17.525,16.92,16.92,63296,0
20140819,16.88,17.55,16.8,16.8,55358,0
20140820,17.2,17.32,16.86,16.99,19656,0
20140821,16.92,17.2,16.51,16.6,24374,0
20140822,16.66,17.175,16.52,16.61,27187,0
20140825,16.9,17.25,16.62,16.7,30441,0
20140826,16.74,17,16.74,16.86,17871,0
20140827,16.93,17.51,16.83,16.95,37356,0
20140828,17.04,17.04,16.801,16.9,9092,0
20140829,16.9,17.21,16.8,16.8,13017,0
20140902,16.76,17,16.52,16.63,34687,0
20140903,16.65,16.75,16.55,16.59,15249,0
20140904,17.05,17.33,16.158,16.37,76795,0
20140905,16.28,16.89,16.22,16.49,57499,0
20140908,16.5,17,16.13,16.59,121672,0
20140909,16.55,16.8,16.1,16.55,49856,0
20140910,16.55,17.17,16.51,16.9,33570,0
20140911,16.83,17.2,16.52,16.89,63000,0
20140912,16.95,17.22,16.58,16.75,57486,0
20140915,16.75,17.2,16.66,16.66,17083,0
20140916,16.98,16.98,16.5,16.75,59349,0
20140917,16.88,17.68,16.82,17.3,112794,0
20140918,17.33,17.71,16.82,17.39,57102,0
20140919,17.5,18.24,17.076,17.33,283339,0
20140922,17.35,17.65,17.3,17.53,187494,0
20140923,17.42,18.25,17.37,17.69,235260,0
20140924,17.59,18.23,17.56,18.15,33102,0
20140925,18.23,18.23,17.59,17.93,120531,0
20140926,17.95,18.3,17.61,18.24,48753,0
20140929,18.02,19.45,18.02,19.13,19364,0
20140930,19.25,20.31,18.91,19.35,139328,0
20141001,19.35,20,18.86,19.01,189533,0
20141002,19.43,19.43,18.68,19.04,29542,0
20141003,19.39,19.802,18.8,19.02,84599,0
20141006,18.98,19,18,18.59,59047,0
20141007,18.78,18.8,17.07,17.17,91302,0
20141008,17.2,17.92,16.65,16.99,64801,0
20141009,16.97,17.52,16.77,16.82,74647,0
20141010,16.81,17.19,16.14,16.31,34854,0
20141013,16.24,16.47,16,16.12,35676,0
20141014,16.54,16.9,16.11,16.22,49846,0
20141015,16.15,16.48,16.1,16.33,63531,0
20141016,16.25,17.01,16.25,16.89,63071,0
20141017,16.89,17.82,16.76,16.92,44393,0
20141020,16.89,17.28,16.85,17.05,17424,0
20141021,17.07,17.51,16.76,17.24,248331,0
20141022,17.36,17.538,16,16.22,229057,0
20141023,16.13,16.73,15.6,16.35,72606,0
20141024,16.57,17.35,15.96,17.34,26780,0
20141027,17.24,17.39,16.17,17.35,30531,0
20141028,17.61,18.19,16.952,17.6,18606,0
20141029,17.18,19.81,16.7,19.18,96557,0
20141030,19.68,19.76,18.08,18.65,29803,0
20141031,18.51,19.8,18.51,19.43,40931,0
20141103,19.61,20.1,18.88,19.46,91415,0
20141104,19.43,19.59,18.14,18.85,165036,0
20141105,19.1,19.5,18.01,18.16,52533,0
20141106,17.66,17.66,17.1,17.29,88138,0
20141107,17.31,17.4,16.65,17.13,50460,0
20141110,16.6,18.03,16.3,16.82,50746,0
20141111,16.86,17.85,16.61,16.79,43848,0
20141112,16.66,17.52,16.35,16.64,18582,0
20141113,16.48,17,16.41,16.54,26133,0
20141114,16.42,17.43,16.42,17.43,40426,0
20141117,17,17.82,16.5,16.75,61659,0
20141118,16.62,17.33,16.25,16.66,85827,0
20141119,16.9,16.9,16.26,16.39,75404,0
20141120,16.25,16.87,16.25,16.55,61488,0
20141121,16.5,16.84,16.35,16.53,38979,0
20141124,16.5,16.5,15.85,16.44,58445,0
20141125,16.3,18.11,16.3,17.47,178221,0
20141126,17.42,19.33,17.02,18.17,105611,0
20141128,18.69,19.49,18.11,18.8,20209,0
20141201,18.8,19.26,18.14,19.14,38268,0
20141202,19.38,19.38,18.81,19.22,42693,0
20141203,19.36,19.37,18.84,18.93,26876,0
20141204,18.72,19.36,18.62,19.1,25173,0
20141205,19.05,20.59,19.05,19.76,60814,0
20141208,18.77,19.7,18.22,18.41,53591,0
20141209,18.2,18.84,18.07,18.48,98858,0
20141210,18.59,19.1,17.95,18.1,57692,0
20141211,18.19,18.66,17.95,18.07,26900,0
20141212,18.31,18.68,17.62,18.42,43233,0
20141215,18.39,18.99,17.96,18.79,102640,0
20141216,18.55,18.95,18.1,18.73,42675,0
20141217,18.63,19.05,18.62,18.91,90874,0
20141218,19,19.1,18.5,18.89,159732,0
20141219,19,19.25,18.51,18.58,279033,0
20141222,18.5,18.8,18.28,18.76,26393,0
20141223,18.76,19.28,18.43,19.11,26766,0
20141224,19.11,19.185,18.56,18.72,33404,0
20141226,18.82,19.05,18.29,18.59,53565,0
20141229,18.76,18.765,18.29,18.63,24590,0
20141230,19.05,19.23,18.54,18.76,42169,0
20141231,19.04,19.04,18.08,18.57,37420,0
20150102,18.59,18.59,18.06,18.44,48968,0
20150105,18.42,19.13,18.28,18.98,55488,0
20150106,19.04,19.04,17.85,18.2,52883,0
20150107,18.25,18.43,17.97,18.1,24515,0
20150108,18.23,18.84,17.85,18.83,32016,0
20150109,18.63,18.63,16.41,16.85,93286,0
20150112,16.84,16.84,15.83,16.33,42571,0
20150113,16.05,16.62,14.25,15.19,152751,0
