Date,Open,High,Low,Close,Volume,OpenInt
20141002,10.22,11.24,9.26,9.41,4633059,0
20141003,9.29,9.75,9.29,9.35,350297,0
20141006,9.6,9.65,9.35,9.35,187431,0
20141007,9.08,9.4,9.06,9.25,38873,0
20141008,9.35,10.4,9.01,9.13,163500,0
20141009,9.15,9.24,8.05,8.42,175517,0
20141010,8.02,8.4999,6.51,7.47,173227,0
20141013,7.35,7.45,6.9,7.01,226840,0
20141014,6.88,7.4438,6.88,7.15,146630,0
20141015,6.95,7.85,6.63,7.49,160116,0
20141016,7.49,9.2295,7.41,8.42,96729,0
20141017,8.9,9.2,8.6332,9.02,68291,0
20141020,9.08,10.29,8.99,10.07,152953,0
20141021,10.2,10.89,9.7,10.53,262948,0
20141022,10.86,10.86,9.04,9.62,110315,0
20141023,10.49,10.49,9.61,9.9,68373,0
20141024,9.71,11.7,9.35,11.04,140076,0
20141027,11,11,9.5,10.4,79005,0
20141028,10.41,10.9,9.89,10.56,107942,0
20141029,11.4,11.4,10.14,10.33,57170,0
20141030,10.14,10.5,10.14,10.31,46937,0
20141031,10.43,10.9,9.4,9.42,161995,0
20141103,9.31,11,9.31,9.85,118787,0
20141104,10.31,10.6,10.01,10.15,82844,0
20141105,10.14,10.94,9.8,10.17,66924,0
20141106,9.85,10.05,9.51,9.72,68205,0
20141107,9.62,10.32,9.62,9.93,38790,0
20141110,10.2,10.501,9.91,10.13,75069,0
20141111,10.25,10.25,9.794,10.13,36839,0
20141112,10.23,10.74,9.88,10.04,47373,0
20141113,10.05,10.29,9.88,9.96,46251,0
20141114,10.15,10.26,9.75,9.88,42279,0
20141117,9.75,9.965,9.37,9.4,51893,0
20141118,9.5,9.85,9.31,9.68,26245,0
20141119,9.81,9.96,9.61,9.95,11558,0
20141120,9.89,10.31,9.66,9.74,27993,0
20141121,10.7,10.7,9.76,9.8,48912,0
20141124,9.8,10.4,9.8,10.17,80859,0
20141125,10.07,10.5,10,10.12,52034,0
20141126,10.19,10.72,10.11,10.5,76909,0
20141128,10.49,10.8,10.35,10.67,18123,0
20141201,10.36,10.949,8.08,8.54,237862,0
20141202,8.54,9.74,8.54,9.64,87850,0
20141203,9.72,10.554,9.6,10.42,46551,0
20141204,10.44,10.45,9.77,10.22,23142,0
20141205,10.22,10.58,10.095,10.57,103953,0
20141208,10.62,13.23,10.62,12.95,321859,0
20141209,12.92,14.18,11.54,13.22,123703,0
20141210,13.22,17.94,13.01,17.17,524412,0
20141211,17.64,25.3,17.29,23.2,1407118,0
20141212,22.9,31.49,20.91,29.85,1178644,0
20141215,31.85,33.48,25.62,26.75,1491285,0
20141216,26.06,28.5,25.36,26.32,397639,0
20141217,26.68,26.75,21.5,26.46,555515,0
20141218,27.47,29.49,25.22,28.75,368828,0
20141219,29,30,27.31,27.93,1394525,0
20141222,27.45,27.663,23.02,23.03,236245,0
20141223,22.95,23.5,20.73,21.17,178347,0
20141224,21.18,23.95,21,22.33,145334,0
20141226,22,23.52,21.47,22.34,93275,0
20141229,22.55,22.99,19.29,19.81,186885,0
20141230,20.15,20.15,17.34,18.31,180123,0
20141231,18.27,22.662,17.77,20.2,345212,0
20150102,20.19,21.4,19.3,20.9,167328,0
20150105,20.86,21.98,20.001,21.7,92027,0
20150106,21.9,24,21.19,23.85,189027,0
20150107,24.36,25.41,22.81,24.4,139535,0
20150108,25.09,25.35,23.03,23.58,108490,0
20150109,23.72,24.5,22.26,23.64,61011,0
20150112,24.098,24.098,22.32,22.86,47449,0
20150113,23,23.75,21.7,22.14,111610,0
20150114,21.72,23,21.7,22.82,39931,0
20150115,23,23,21.21,21.47,45992,0
20150116,21.38,23.21,21.26,23.18,52549,0
