Date,Open,High,Low,Close,Volume,OpenInt
20140320,22.9,28.5,20.62,26.69,4677213,0
20140321,26,28.195,22.5,23.7,440418,0
20140324,23,25,20.01,20.2,448561,0
20140325,20.22,20.5,18.96,20,219904,0
20140326,19.94,20,18.75,18.96,128900,0
20140327,18.93,19.5,18.75,19.37,115572,0
20140328,19.65,20.57,19.37,20,97172,0
20140331,20.4,20.4,19.01,19.56,108901,0
20140401,19.68,21.31,19.591,20.56,113947,0
20140402,21.125,22.64,21,21.88,76086,0
20140403,21.68,22.31,18.5,19.15,77422,0
20140404,18.77,20.49,17.65,18.51,49645,0
20140407,18.26,18.41,17.75,18,70146,0
20140408,18.21,19.21,17.86,18.31,53669,0
20140409,18.06,18.99,16.41,18.89,158822,0
20140410,19.45,19.45,18,18.48,71406,0
20140411,18.5,19.44,16.5,16.86,284422,0
20140414,19.33,23.32,17.07,21.14,3065818,0
20140415,20.8,22.5,20.02,22.26,807338,0
20140416,23.38,26.35,22.35,24.7,1394868,0
20140417,25.99,26.81,25.11,26.09,676743,0
20140421,26.9,27.5,26,27.04,362044,0
20140422,27.1,27.85,23.8,25.49,616087,0
20140423,25.47,26.41,24.5,24.77,248807,0
20140424,24.5,25.48,22.61,22.79,316784,0
20140425,22.67,24.4,21.237,23,282582,0
20140428,23.01,24.999,22.25,23,167858,0
20140429,23.17,24.44,22.5,24.16,117960,0
20140430,23.4,24.94,23.4,24.37,117715,0
20140501,24.46,24.95,24.01,24.86,84833,0
20140502,24.888,25.32,23.848,24.01,72235,0
20140505,23.32,24.48,22.81,23.73,108346,0
20140506,23.4,24.15,22.82,22.99,94389,0
20140507,23.1,23.845,22.26,23.04,59966,0
20140508,22.4,23.438,22.35,22.88,54218,0
20140509,22.5,23.43,21.75,22.21,79744,0
20140512,22.71,22.79,21,22.39,179614,0
20140513,22.49,23.7,22.235,23.03,95052,0
20140514,22.69,23.26,22.56,22.8,121578,0
20140515,22.83,23.05,21.51,21.52,94979,0
20140516,21.59,22.647,21.5,21.53,45150,0
20140519,21.5,21.75,21.05,21.14,85040,0
20140520,21.73,22.18,21.078,21.34,59981,0
20140521,21.29,22.71,21.25,22.23,118984,0
20140522,22.3,23.31,22.031,22.93,98675,0
20140523,22.5,23.5,22.5,22.76,130810,0
20140527,23.01,23.25,22.75,22.88,54459,0
20140528,23.09,23.22,22.8,23.02,94585,0
20140529,23.25,24,22.75,23.61,60305,0
20140530,23.99,24.855,23.32,24.3,120030,0
20140602,24.53,24.75,23.7,24.65,58658,0
20140603,24.4,26.5,24.35,26.31,124892,0
20140604,26.38,27.46,25.865,26.37,115854,0
20140605,26.63,27.298,26.08,26.73,91624,0
20140606,26.68,27.97,26.52,26.85,141446,0
20140609,27.05,28.757,26.9,28.31,350573,0
20140610,28,28.69,27.81,28.06,141000,0
20140611,27.8,28.4,26.85,27.57,94796,0
20140612,27.7,28.28,26.67,27.5,122630,0
20140613,27.49,27.78,27.04,27.66,79073,0
20140616,27.84,27.9,26.8,26.98,94288,0
20140617,26.91,27.32,26.22,26.92,90238,0
20140618,26.79,28.34,26.765,27.8,97222,0
20140619,27.76,27.85,26.94,27.28,119487,0
20140620,27.82,31,27.3,29.17,449845,0
20140623,29.75,30.39,28.47,28.68,225549,0
20140624,29.11,29.11,27.07,27.19,121442,0
20140625,27.17,28.95,26.76,28.62,157955,0
20140626,28.52,29.12,27.99,29.06,138475,0
20140627,28.87,29.7,28.22,28.59,1240942,0
20140630,29.07,29.67,27.02,27.79,195561,0
20140701,27.9,28.12,27.12,28.02,119892,0
20140702,27.93,28.2,27.28,27.77,64700,0
20140703,27.95,28.33,27.58,28.05,39892,0
20140707,27.9,27.96,25.235,25.48,173825,0
20140708,25.4,25.945,23.406,24.24,182141,0
20140709,24.04,24.89,23,23.6,131689,0
20140710,22.83,24.69,22.83,24.27,173903,0
20140711,24.21,24.88,24.2,24.77,89062,0
20140714,25.38,26,24.91,25.26,204816,0
20140715,25.25,25.25,23.77,24.33,207734,0
20140716,24.24,24.68,23.5,23.95,116690,0
20140717,23.78,24.27,23.33,23.49,156500,0
20140718,23.45,23.904,23,23.57,183894,0
20140721,23.47,23.478,22.8,23.11,65980,0
20140722,23.25,23.905,23,23.27,80710,0
20140723,23.34,23.99,22.88,23.19,82184,0
20140724,23.19,23.8,23.19,23.64,90149,0
20140725,23.54,23.96,23.07,23.36,149218,0
20140728,23.37,23.57,22.22,22.33,169257,0
20140729,22.33,23.41,22.2,23.24,155277,0
20140730,23.47,23.802,22.53,22.84,100654,0
20140731,22.57,23.014,22.02,22.14,103806,0
20140801,22,22.31,21.07,21.44,79086,0
20140804,22.5,22.5,20.502,20.84,110714,0
20140805,21.1,21.21,20.49,20.88,59203,0
20140806,20.76,22.416,20.76,21.57,44070,0
20140807,21.74,21.79,20.66,21.03,61247,0
20140808,21.43,21.805,20.8,21.69,73130,0
20140811,21.76,22.66,21.46,22.6,95434,0
20140812,22.4,22.77,21.56,22.16,105820,0
20140813,22.25,22.765,21.68,22.57,119947,0
20140814,22.056,24.27,22.056,24.01,127553,0
20140815,24.25,26.49,23.68,25.8,163209,0
20140818,25.89,26.77,25.15,25.97,149848,0
20140819,26,26.35,23.87,24.27,90490,0
20140820,24.12,24.31,23.31,23.42,77543,0
20140821,23.5,23.71,22,22.31,148769,0
20140822,22.07,22.54,21.74,22.36,136216,0
20140825,22.51,23.14,21.981,22.92,107766,0
20140826,23.02,23.75,22.761,23.31,66568,0
20140827,23.28,23.41,22.58,22.65,49065,0
20140828,22.32,22.72,21.81,21.85,76462,0
20140829,22.08,22.63,21.85,22.51,95845,0
20140902,22.81,23.16,22.31,22.62,120137,0
20140903,22.86,23.633,22.34,23.42,107342,0
20140904,23.46,23.69,22.13,22.59,109786,0
20140905,22.37,22.79,22.14,22.5,80479,0
20140908,22.41,22.64,22,22.3,135286,0
20140909,22.02,22.49,22,22.11,145307,0
20140910,22.04,22.12,21.38,21.8,125076,0
20140911,21.57,22.39,21.55,21.76,127712,0
20140912,21.94,21.97,20.95,21.08,105383,0
20140915,21.07,21.12,20.11,20.46,101621,0
20140916,20.35,21.5,20.1,21.44,182556,0
20140917,21.5,22.73,21,22.53,119262,0
20140918,22.71,23,22.32,22.49,59769,0
20140919,22.64,22.85,21.82,21.87,95656,0
20140922,21.7,21.7,20.69,20.75,172015,0
20140923,20.47,20.55,20.11,20.25,122790,0
20140924,20.15,21.06,20.15,20.86,71804,0
20140925,20.81,21.78,20.515,21.52,127679,0
20140926,21.67,23.08,21.35,22.83,102541,0
20140929,22.61,22.89,22.07,22.75,52615,0
20140930,22.66,23.41,22.02,22.13,134439,0
20141001,21.49,21.7,20.52,20.7,185457,0
20141002,20.7,21.14,20.3,20.72,103515,0
20141003,20.9,21.04,20.53,20.7,56184,0
20141006,20.44,21.62,20.35,21.34,107263,0
20141007,21.01,21.24,20.7,20.89,64807,0
20141008,20.87,21.42,20.38,21.27,86531,0
20141009,21.15,21.22,20.55,20.75,72748,0
20141010,20.69,21.07,20.36,20.81,113558,0
20141013,20.82,20.82,20.1,20.14,142457,0
20141014,20.17,20.57,18.35,19.95,271938,0
20141015,20.08,20.83,19.13,20.67,156417,0
20141016,20.75,20.83,19.55,20.6,127406,0
20141017,21.44,21.75,20.19,20.49,178713,0
20141020,20.4,20.75,20.05,20.43,186924,0
20141021,20.63,20.705,20,20.17,187068,0
20141022,19.8,19.98,19.32,19.54,96102,0
20141023,19.74,19.74,19.11,19.27,94204,0
20141024,19.31,20,19.28,19.72,54992,0
20141027,17.8,18,11.85,13.97,2242596,0
20141028,13.31,14.294,12.361,12.75,553723,0
20141029,12.75,13.64,12.75,12.99,361664,0
20141030,13.08,13.665,13.04,13.11,188721,0
20141031,13.55,13.63,12.85,12.96,174985,0
20141103,12.74,12.8,12.14,12.2,254840,0
20141104,12.05,12.322,10.98,11,377593,0
20141105,11.51,11.7,10.472,10.72,220515,0
20141106,11,11,10.273,10.37,176076,0
20141107,10.46,10.76,10.3,10.7,139050,0
20141110,10.28,10.28,8.6,8.995,629584,0
20141111,9.63,10.39,9.32,10.36,351554,0
20141112,10.4,12.39,10.12,12.21,402020,0
20141113,12.18,12.63,11.226,11.3,305482,0
20141114,11.38,12.19,11.38,11.98,162543,0
20141117,12.15,13.23,12.13,12.95,314587,0
20141118,13.01,14.178,13.01,14.08,311093,0
20141119,14.06,15.31,14.06,15.24,331356,0
20141120,15.46,15.46,14.35,14.81,197706,0
20141121,15.1,15.13,14.27,14.31,129116,0
20141124,14.18,14.26,13.67,13.73,210652,0
20141125,13.78,13.85,12.63,13.12,257661,0
20141126,13.1,13.38,13.02,13.12,96927,0
20141128,12.63,12.86,12.01,12.08,99598,0
20141201,12.15,12.44,11.5,11.55,155786,0
20141202,11.51,11.98,11.26,11.43,143268,0
20141203,11.49,11.65,10.15,10.7,467831,0
20141204,10.85,10.9,10.16,10.29,164132,0
20141205,10.32,10.94,10.3,10.45,152190,0
