Date,Open,High,Low,Close,Volume,OpenInt
20130627,7,9.1,6.56,8.26,630443,0
20130628,8.48,8.49,7.5,7.56,181437,0
20130701,7.26,7.55,7.26,7.5,14542,0
20130702,7.5199,8.2455,7.3,7.83,29315,0
20130703,8.09,8.1,7.81,8,8532,0
20130705,8.73,9.25,8.193,8.97,28483,0
20130708,9.5,10.322,9.1464,9.82,47338,0
20130709,10,10.2,9.54,9.58,28156,0
20130710,9.46,9.98,9.1,9.4,15964,0
20130711,9.51,9.51,8.26,8.76,30573,0
20130712,8.5,8.6076,8.1,8.51,60145,0
20130715,8.5,8.63,8.15,8.25,32556,0
20130716,8.52,10,8.25,9.566,47234,0
20130717,9.977,9.977,9.18,9.8,8706,0
20130718,9.87,9.93,9.55,9.57,21175,0
20130719,9.61,10.3,9.57,10.12,106161,0
20130722,10.12,10.4,9.4,9.4,60961,0
20130723,10,10.4,9.83,10,26296,0
20130724,10.02,10.25,9.85,9.86,14573,0
20130725,10.67,10.67,9.7,10,15983,0
20130726,10.27,10.45,9.53,9.55,24083,0
20130729,9.5,9.74,8.71,9.26,10449,0
20130730,9.01,9.24,8.75,9.2,11854,0
20130731,9.2,9.5,9.07,9.31,5804,0
20130801,9.4,9.45,9.01,9.4,4483,0
20130802,9.99,9.99,9.3254,9.5,13043,0
20130805,9.49,9.9,9.49,9.755,4830,0
20130806,10,10,9.521,9.76,2604,0
20130807,9.99,9.99,9.52,9.7,2765,0
20130808,9.53,9.8,9.52,9.56,950,0
20130809,9.85,9.85,9.645,9.74,2700,0
20130812,9.81,9.97,9.525,9.525,6329,0
20130813,9.75,9.75,8.75,8.94,10335,0
20130814,8.85,9.265,8.85,8.94,12110,0
20130815,8.97,9,8.87,9,4930,0
20130816,8.9,9,8.8,8.9,6428,0
20130819,8.81,9.08,8.75,8.75,7200,0
20130820,8.89,8.9,8.66,8.845,1300,0
20130821,8.87,8.99,8.69,8.99,4100,0
20130822,9,9.069,8.85,8.9,4156,0
20130823,8.82,8.9599,8.76,8.84,2500,0
20130826,8.68,9.1038,8.6,9.04,7740,0
20130827,9.05,9.05,8.86,8.89,4250,0
20130828,8.98,9,8.87,8.92,9055,0
20130829,9,9.1,8.93,9.1,5758,0
20130830,8.9999,9.03,8.0701,8.17,11101,0
20130903,8.7,9,8.21,8.55,9909,0
20130904,8.53,9,8.21,8.62,22871,0
20130905,8.6,8.78,8.56,8.78,1089,0
20130906,8.71,8.9,8.2601,8.9,1844,0
20130909,9.25,9.95,9.04,9.22,19520,0
20130910,9.36,10,9.36,9.79,13285,0
20130911,9.98,10.5,9.78,10.25,24884,0
20130912,10.25,12.5,10.25,11.82,111926,0
20130913,11.84,15.12,11.58,13.98,81347,0
20130916,14.86,16.06,14.39,14.99,156590,0
20130917,14.83,15.49,14.33,15.03,58608,0
20130918,15.12,15.58,14.76,15.09,387193,0
20130919,15.23,16.479,14.84,15.91,383126,0
20130920,17.29,17.29,14.4,14.75,94534,0
20130923,14.9,17.94,14.86,17.36,114146,0
20130924,18.09,20.58,17.87,19.22,145688,0
