Date,Open,High,Low,Close,Volume,OpenInt
20131127,0.43,0.53,0.42,0.53,20534,0
20131129,0.69,0.69,0.62,0.6399,13400,0
20131202,0.7,0.7,0.56,0.65,14100,0
20131203,0.6,0.6,0.45,0.55,24330,0
20131204,0.6,0.6,0.54,0.55,10884,0
20131205,0.69,0.69,0.69,0.69,200,0
20131206,0.5501,0.6,0.55,0.55,32898,0
20131209,0.7,0.7,0.5,0.5,8370,0
20131210,0.53,0.59,0.53,0.5601,13600,0
20131211,0.59,0.59,0.491,0.503,20500,0
20131212,0.56,0.57,0.5397,0.54,19450,0
20131213,0.53,0.5501,0.5275,0.55,29300,0
20131216,0.6,0.6487,0.51,0.6487,32400,0
20131217,0.4101,0.54,0.4101,0.54,2250,0
20131218,0.5,0.55,0.41,0.5005,9500,0
20131219,0.5001,0.64,0.45,0.6,30699,0
20131220,0.7,0.7,0.5,0.6,11272,0
20131224,0.59,0.59,0.59,0.59,600,0
20131226,0.6,0.6,0.48,0.48,9124,0
20131227,0.4999,0.5,0.4999,0.4999,1000,0
20131230,0.55,0.7,0.549,0.7,61100,0
20131231,0.7,0.7201,0.6,0.602,18550,0
20140102,0.69,0.69,0.63,0.63,14450,0
20140103,0.65,0.65,0.62,0.62,14580,0
20140106,0.5,0.6,0.5,0.6,20300,0
20140107,0.6,0.6,0.56,0.57,35000,0
20140108,0.55,0.55,0.5,0.55,1000,0
20140109,0.56,0.56,0.5,0.55,18800,0
20140110,0.548,0.548,0.548,0.548,2300,0
20140113,0.55,0.55,0.5,0.51,12475,0
20140114,0.5377,0.688,0.532,0.59,89925,0
20140115,0.55,0.6,0.55,0.57,49900,0
20140116,0.57,0.57,0.57,0.57,10500,0
20140117,0.5201,0.6,0.52,0.5999,13100,0
20140121,0.64,0.64,0.521,0.55,19480,0
20140122,0.55,0.62,0.5499,0.5996,12050,0
20140123,0.5999,0.72,0.55,0.72,170920,0
20140124,0.6899,0.69,0.6,0.64,23350,0
20140127,0.65,0.73,0.61,0.61,97062,0
20140129,0.5,0.56,0.5,0.56,23000,0
20140130,0.6484,0.6484,0.6483,0.6483,200,0
20140131,0.64,0.64,0.64,0.64,500,0
20140203,0.5622,0.58,0.5101,0.5797,75750,0
20140204,0.5012,0.54,0.5012,0.54,9100,0
20140205,0.5023,0.5696,0.5,0.5,14700,0
20140206,0.55,0.55,0.5,0.5499,8400,0
20140207,0.5,0.53,0.45,0.53,45650,0
20140210,0.4501,0.4501,0.4501,0.4501,1000,0
20140211,0.4401,0.49,0.4401,0.49,7350,0
20140212,0.5,0.54,0.4997,0.54,12800,0
20140213,0.5,0.5498,0.5,0.51,16300,0
20140214,0.5299,0.5467,0.5,0.54,2400,0
20140218,0.5,0.54,0.5,0.54,3800,0
20140220,0.545,0.57,0.53,0.5301,1650,0
20140221,0.5,0.549,0.5,0.53,12843,0
