Date,Open,High,Low,Close,Volume,OpenInt
20140121,6.7,6.7001,5.5401,5.8,351196,0
20140122,5.8,6.4899,5.6,6.27,223824,0
20140123,6.4,6.74,6.2,6.349,99885,0
20140124,6.2,6.4599,6.06,6.26,107577,0
20140127,6.3058,6.4899,6.063,6.3616,93271,0
20140128,6.42,6.44,6.31,6.3499,47265,0
20140129,6.31,6.44,6.16,6.28,40315,0
20140130,6.18,6.3599,6.18,6.3106,56341,0
20140131,6.3458,6.3458,6.25,6.28,28403,0
20140203,6.3499,6.3499,6.15,6.2599,62376,0
20140204,6.33,6.3462,6.23,6.2862,45923,0
20140205,6.251,6.8,6.2104,6.66,205980,0
20140206,6.74,6.9,6.62,6.6399,69393,0
20140207,6.8,6.8,6.226,6.32,114799,0
20140210,6.26,6.41,6.21,6.28,76140,0
20140211,6.3199,6.3199,5.82,6.1,97950,0
20140212,6.2499,6.2499,5.96,6.08,77226,0
20140213,6.08,6.1,5.95,5.97,83987,0
20140214,5.95,6.3799,5.8,6.37,118239,0
20140218,6.44,6.5,6.2107,6.5,93308,0
20140219,6.47,6.5,6.3,6.38,73461,0
20140220,6.41,6.74,6.41,6.74,92931,0
20140221,6.74,7.3,6.64,7.26,249310,0
20140224,7.3,7.88,7.25,7.81,264792,0
20140225,7.79,7.9,7.5101,7.72,160355,0
20140226,7.75,7.8,7.0001,7.38,182843,0
20140227,7.46,7.5,7.1,7.29,112909,0
20140228,7.3,7.3,7.05,7.26,73930,0
20140303,7.2,7.5799,7.2,7.48,82866,0
20140304,7.5,7.72,7.35,7.49,74180,0
20140305,7.49,7.5386,7.3013,7.36,64837,0
20140306,7.5,8.36,7.3,8.29,351146,0
20140307,8.35,8.98,8.35,8.77,349607,0
20140310,8.65,8.8999,8.08,8.41,169304,0
20140311,8.31,8.65,8.1,8.19,135399,0
20140312,8.09,8.3572,7.38,7.68,208896,0
20140313,7.8,7.8,6.88,6.95,227661,0
20140314,6.86,7.25,6.8,7.12,130973,0
20140317,7.28,7.5,7.2,7.29,85069,0
20140318,7.22,7.9499,7.21,7.82,166599,0
20140319,7.68,7.97,7.5,7.69,92974,0
20140320,7.56,7.88,7.51,7.54,86551,0
20140321,7.52,8,7.51,7.79,347942,0
20140324,7.9,8.25,7.84,8.22,158481,0
20140325,8.35,8.48,8.15,8.27,116191,0
20140326,8.4,8.4,7.63,7.79,127900,0
20140327,7.74,7.95,7.42,7.58,79604,0
20140328,7.57,7.75,7.57,7.61,83029,0
20140331,7.6,8.1,7.55,7.96,170208,0
20140401,8,8,7.68,7.78,90655,0
20140402,7.83,7.96,7.76,7.89,53333,0
20140403,8,8.15,7.81,7.88,189658,0
20140404,7.9,8,7.58,7.76,100764,0
20140407,7.7,7.8,7.44,7.56,75520,0
20140408,7.46,7.88,7.45,7.635,67485,0
20140409,7.99,7.99,7.8,7.92,143651,0
