Date,Open,High,Low,Close,Volume,OpenInt
20130911,105.39,106.35,105.14,106.35,3463,0
20130912,104.78,106.52,104.73,105.7,8883,0
20130913,105.7,106.7,105.41,106.57,5786,0
20130916,108.39,108.39,108.05,108.08,5400,0
20130917,107.48,107.85,107.29,107.55,13907,0
20130918,107.98,112.31,107.87,112.31,7447,0
20130919,112.46,112.81,112.04,112.04,4650,0
20130920,105.94,112,105.94,111.1,8606,0
20130923,111.84,111.84,109.95,110.5,8602,0
20130924,110.57,110.86,109.95,110.86,18615,0
20130925,112.77,112.77,110.65,111.27,28727,0
20130926,111.63,111.63,110.6,110.84,3932,0
20130927,110.84,111.3,110.84,111.25,1020,0
20130930,109.27,110.02,109.27,109.75,6571,0
20131001,110.12,110.96,110.02,110.77,16809,0
20131002,110.39,110.57,109.55,110.57,9678,0
20131003,110.63,110.63,110.22,110.47,17458,0
20131004,109.85,110.39,109.5,109.79,9958,0
20131007,108.13,109.06,108.13,109.06,4167,0
20131008,108.29,108.38,106.87,106.87,23562,0
20131009,105.53,105.97,104.94,105.83,20446,0
20131010,105.61,109.4,105.61,109.4,18945,0
20131011,110.36,110.91,110.2,110.91,12656,0
20131014,110.91,111.75,110.82,111.75,9232,0
20131015,111.65,111.83,111.37,111.43,17900,0
20131016,112.04,112.75,112.03,112.44,7597,0
20131017,114.34,116,114.34,116,9374,0
20131018,116.37,117.44,115.12,117.37,8602,0
20131021,116.61,117.27,116.58,117.27,6254,0
20131022,119.03,120.74,119.03,120.47,18687,0
20131023,119.13,119.23,118.78,119.22,4900,0
20131024,120.46,120.54,120.08,120.54,4717,0
20131025,120.45,120.49,120.4,120.49,1308,0
20131028,119.57,120.28,119.57,120.28,1716,0
20131029,120.42,120.64,120.04,120.64,18520,0
20131030,120.69,120.76,119,119.31,10786,0
20131031,118.99,119.49,118.35,119.07,22900,0
20131101,118.45,118.45,116.63,117.09,4257,0
20131104,117.84,118.21,117.46,118.19,20985,0
20131105,116.06,116.98,115.6,116.97,14256,0
20131106,118.49,118.59,118.32,118.59,1590,0
20131107,116.21,116.37,115.26,115.26,19814,0
20131108,114.23,116.38,114.14,116.1,14140,0
20131111,116.73,116.98,116.66,116.66,1472,0
20131112,116.22,116.5,115.78,115.78,17459,0
20131113,114.38,116.18,114.38,116.18,4963,0
20131114,116.48,117.7,116.45,117.69,1753,0
20131115,120.32,120.44,118.05,118.37,2818,0
20131118,120.37,120.37,118.78,119.42,1883,0
20131119,118.74,119.08,118.3,118.95,16191,0
20131120,119.13,119.13,117.19,117.2,1619,0
20131121,117.55,118.44,117.55,118.43,1071,0
20131122,119.09,119.63,118.99,119.63,1539,0
20131125,119.58,119.95,119.06,119.06,3875,0
20131126,119.3,119.31,119.08,119.27,11433,0
20131127,120.28,120.31,120.05,120.29,5901,0
20131129,121.6,121.74,121.19,121.19,1570,0
20131202,119.99,120.08,119.82,119.85,3597,0
20131203,117.82,118.01,117.2,117.2,2481,0
20131204,114.7,115.92,114.57,115.91,11754,0
20131205,115.59,115.76,114.84,114.98,14090,0
20131206,116.54,117.66,116.51,117.63,3473,0
20131209,117.61,117.9,117.57,117.9,926,0
20131210,117.08,117.25,116.58,116.76,3660,0
20131211,116.51,116.55,114.91,114.91,17638,0
20131212,113.66,113.67,113.15,113.17,2274,0
20131213,112.08,112.58,112.08,112.57,3445,0
20131216,115.11,115.62,114.99,115.27,3578,0
20131217,113.94,114.08,113.57,114.05,4499,0
20131218,115.37,117.02,115.2,117.02,32173,0
20131219,116.62,117.9,116.62,117.9,4757,0
20131220,119.11,119.61,119,119,2677,0
20131223,120.38,120.87,120.38,120.84,1747,0
20131224,121.02,121.93,120.97,121.91,22677,0
20131226,121.09,123.07,121.09,123.07,21950,0
20131227,125.22,125.45,124.99,125.4,17601,0
20131230,125.29,125.4,124.55,125.31,3113,0
20131231,125.19,126.3,125.16,126.3,21583,0
20140102,124.24,124.24,120.6,121.05,28539,0
20140103,121.47,121.9,121.23,121.37,14300,0
20140106,122.64,122.76,121.62,121.87,11038,0
20140107,123.37,123.37,123.27,123.29,18338,0
20140108,122.61,123.25,122.56,122.74,5786,0
20140109,122.81,122.81,121.99,122.7,2040,0
20140110,123.72,124.53,123.7,124.51,15698,0
20140113,123.25,123.92,123.25,123.45,6626,0
20140114,123.82,125.66,123.22,125.66,2993,0
20140115,124.97,126.2,124.94,126.2,2924,0
20140116,126.24,126.77,126.18,126.77,3368,0
20140117,126.05,126.39,125.28,125.28,26031,0
20140121,127.11,127.11,126.03,127,5370,0
20140122,126.33,127,126.26,126.99,4114,0
20140123,126.32,126.32,125.9,125.9,1142,0
20140124,122.66,122.68,120.07,120.07,4180,0
20140127,121.41,121.41,117.82,118.3,12299,0
20140128,119.01,119.89,118.82,119.89,4035,0
20140129,116.38,117.4,116.21,116.78,7969,0
20140130,117.9,118.3,116.82,118.29,6432,0
20140131,113.61,115.37,113.61,115.36,5486,0
20140203,115.13,115.14,111.01,111.4,17732,0
20140204,112.39,112.62,111.85,112.07,21207,0
20140205,112.51,113.16,112.17,113.13,2553,0
20140206,115.12,116.5,115.08,116.5,1730,0
20140207,117.79,119.55,117.67,119.47,2555,0
20140210,118.68,118.91,118.33,118.91,14231,0
20140211,120.25,122.08,120.11,122.07,3296,0
20140212,122.22,122.63,122.22,122.63,3011,0
20140213,122.69,124.65,122.6,124.57,2732,0
20140214,124.25,125.45,124.25,125.43,5366,0
20140218,126.93,127.2,126.58,127.2,18317,0
20140219,126.74,127.55,125.9,125.91,3614,0
20140220,126.1,127.39,126.05,127.34,3837,0
20140221,128.16,128.66,127.56,128.08,11737,0
20140224,128.13,129.61,128.01,129.61,3508,0
20140225,129.03,129.95,128.11,128.69,20351,0
20140226,128.19,128.39,127.55,127.55,4573,0
20140227,127.38,128.8,127.38,128.8,1422,0
20140228,130.24,130.38,129.73,129.73,950,0
20140303,125.94,126,123.74,124.02,3608,0
20140304,128.32,128.65,128.18,128.64,39898,0
20140305,128.18,128.7,128.14,128.35,3250,0
20140306,130.28,130.65,129.88,129.89,3716,0
20140307,128.5,128.5,126.83,128.13,7659,0
20140310,126.65,127.08,125.09,127.08,5060,0
20140311,127.92,127.92,125.27,125.31,29292,0
20140312,123.45,124.45,122.98,124.45,4331,0
20140313,124.7,124.7,122.93,122.93,3783,0
20140314,120.49,121.01,119.45,120.09,9850,0
20140317,122.52,122.95,122.11,122.4,6743,0
