Date,Open,High,Low,Close,Volume,OpenInt
20140519,0.25,0.26,0.24,0.26,20005,0
20140520,0.24,0.29,0.24,0.25,4980,0
20140521,0.24,0.25,0.23,0.25,104900,0
20140522,0.29,0.29,0.23,0.23,29970,0
20140523,0.25,0.25,0.23,0.24,67452,0
20140527,0.25,0.25,0.2,0.23,28904,0
20140528,0.18,0.24,0.18,0.23,43128,0
20140529,0.24,0.29,0.24,0.26,56152,0
20140530,0.25,0.26,0.25,0.26,14200,0
20140602,0.26,0.28,0.25,0.25,15575,0
20140603,0.25,0.26,0.24,0.25,11714,0
20140604,0.26,0.26,0.23,0.24,13100,0
20140605,0.22,0.25,0.22,0.23,19884,0
20140606,0.24,0.25,0.23,0.23,31118,0
20140609,0.24,0.24,0.24,0.24,5503,0
20140610,0.24,0.25,0.24,0.25,10500,0
20140611,0.25,0.25,0.25,0.25,5200,0
20140612,0.22,0.25,0.22,0.24,22173,0
20140613,0.22,0.24,0.22,0.23,7600,0
20140616,0.22,0.24,0.22,0.24,6100,0
20140617,0.26,0.27,0.26,0.26,21000,0
20140618,0.24,0.27,0.22,0.26,26300,0
20140619,0.26,0.27,0.26,0.26,24887,0
20140620,0.25,0.28,0.25,0.27,11516,0
20140623,0.26,0.29,0.26,0.29,57269,0
20140624,0.3,0.3,0.25,0.25,18499,0
20140625,0.27,0.27,0.25,0.26,20996,0
20140626,0.26,0.27,0.26,0.26,56340,0
20140627,0.26,0.28,0.25,0.27,43773,0
20140630,0.28,0.28,0.22,0.26,33555,0
20140701,0.29,0.29,0.24,0.26,2100,0
20140702,0.26,0.26,0.23,0.23,4300,0
20140703,0.26,0.26,0.25,0.26,8025,0
20140707,0.26,0.26,0.26,0.26,24700,0
20140708,0.27,0.28,0.26,0.27,122675,0
20140709,0.28,0.28,0.27,0.27,4900,0
20140710,0.27,0.28,0.27,0.27,266044,0
20140711,0.27,0.27,0.27,0.27,23000,0
20140714,0.28,0.28,0.27,0.27,14071,0
20140715,0.28,0.28,0.28,0.28,11919,0
20140716,0.28,0.28,0.28,0.28,32780,0
20140717,0.27,0.27,0.27,0.27,23725,0
20140718,0.27,0.27,0.25,0.26,18261,0
20140721,0.25,0.26,0.25,0.25,13600,0
20140722,0.25,0.25,0.25,0.25,5000,0
20140723,0.27,0.28,0.27,0.27,38628,0
20140724,0.27,0.27,0.27,0.27,3930,0
20140725,0.28,0.28,0.26,0.28,50087,0
20140728,0.28,0.28,0.27,0.27,24903,0
20140729,0.26,0.27,0.26,0.27,20454,0
20140730,0.24,0.27,0.24,0.26,21050,0
20140731,0.27,0.27,0.27,0.27,38790,0
20140801,0.27,0.27,0.26,0.26,5992,0
20140804,0.25,0.27,0.25,0.27,34100,0
20140805,0.26,0.26,0.25,0.26,27200,0
20140806,0.26,0.26,0.25,0.26,1633,0
20140807,0.25,0.26,0.23,0.25,40871,0
20140808,0.25,0.25,0.25,0.25,20085,0
20140811,0.26,0.27,0.25,0.26,31650,0
20140812,0.27,0.27,0.25,0.25,82048,0
20140813,0.25,0.27,0.25,0.26,20220,0
