Date,Open,High,Low,Close,Volume,OpenInt
20120921,22.162,22.278,22.108,22.162,448502,0
20120924,22.135,22.162,22.064,22.118,380960,0
20120925,22.127,22.171,22.118,22.154,813499,0
20120926,22.162,22.171,22.073,22.127,553050,0
20120927,22.145,22.162,22.118,22.145,391404,0
20120928,22.162,22.288,22.145,22.207,486526,0
20121001,22.234,22.251,22.189,22.216,284506,0
20121002,22.251,22.251,22.171,22.18,296721,0
20121003,22.189,22.278,22.189,22.243,274426,0
20121004,22.243,22.324,22.216,22.269,292179,0
20121005,22.332,22.35,22.305,22.34,328935,0
20121008,22.359,22.467,22.34,22.412,587454,0
20121009,22.439,22.564,22.395,22.43,823540,0
20121010,22.467,22.502,22.439,22.475,299519,0
20121011,22.493,22.51,22.475,22.51,284672,0
20121012,22.52,22.529,22.493,22.502,121067,0
20121015,22.51,22.51,22.421,22.467,267904,0
20121016,22.483,22.502,22.412,22.448,635977,0
20121017,22.467,22.483,22.448,22.448,459175,0
20121018,22.467,22.483,22.404,22.457,330976,0
20121019,22.51,22.591,22.467,22.591,2266385,0
20121022,22.591,22.591,22.483,22.52,194696,0
20121023,22.52,22.52,22.421,22.43,674913,0
20121024,22.483,22.493,22.386,22.404,376835,0
20121025,22.483,22.483,22.35,22.386,348695,0
20121026,22.386,22.43,22.305,22.377,462943,0
20121031,22.43,22.502,22.359,22.483,424747,0
20121101,22.448,22.467,22.386,22.43,827972,0
20121102,22.439,22.493,22.404,22.467,129515,0
20121105,22.51,22.52,22.395,22.467,241271,0
20121106,22.493,22.52,22.412,22.412,349957,0
20121107,22.448,22.467,22.359,22.439,114926,0
20121108,22.439,22.493,22.404,22.457,145340,0
20121109,22.467,22.502,22.386,22.475,147821,0
20121112,22.51,22.52,22.475,22.493,112542,0
20121113,22.43,22.502,22.412,22.43,159945,0
20121114,22.467,22.475,22.261,22.296,141452,0
20121115,22.421,22.43,21.992,22.198,91279,0
20121116,22.288,22.314,22.028,22.091,215077,0
20121119,22.243,22.288,22.18,22.234,131271,0
20121120,22.278,22.483,22.251,22.467,207541,0
20121121,22.475,22.573,22.421,22.564,238619,0
20121123,22.564,22.591,22.529,22.591,62897,0
20121126,22.582,22.582,22.35,22.475,139810,0
20121127,22.448,22.698,22.439,22.448,267118,0
20121128,22.573,22.573,22.421,22.457,154290,0
20121129,22.43,22.502,22.43,22.457,152353,0
20121130,22.538,22.538,22.404,22.43,155731,0
20121203,22.243,22.296,22.162,22.234,96082,0
20121204,22.251,22.251,22.18,22.216,367536,0
20121205,22.269,22.34,22.269,22.34,113161,0
20121206,22.34,22.386,22.332,22.386,228392,0
20121207,22.395,22.404,22.278,22.386,63701,0
20121210,22.43,22.467,22.305,22.314,197701,0
20121211,22.359,22.467,22.34,22.367,130347,0
20121212,22.43,22.467,22.367,22.367,72712,0
20121213,22.421,22.421,22.225,22.278,137015,0
20121214,22.278,22.296,22.18,22.243,85921,0
20121217,22.288,22.324,22.198,22.251,112718,0
20121218,22.324,22.324,22.225,22.296,238829,0
20121219,22.324,22.332,22.288,22.314,61124,0
20121220,22.332,22.377,22.314,22.34,78548,0
20121221,22.314,22.377,22.225,22.296,46458,0
20121224,22.332,22.377,22.296,22.377,18321,0
20121226,22.377,22.43,22.34,22.34,37263,0
20121227,22.412,22.43,22.35,22.367,20842,0
20121228,22.43,22.448,22.377,22.395,42090,0
20121231,22.439,22.457,22.359,22.457,36079,0
20130102,22.475,22.618,22.43,22.538,118120,0
20130103,22.493,22.582,22.448,22.457,136519,0
20130104,22.547,22.564,22.475,22.52,140598,0
20130107,22.52,22.61,22.483,22.493,218295,0
20130108,22.591,22.591,22.502,22.538,57754,0
20130109,22.564,22.564,22.493,22.538,85059,0
20130110,22.564,22.564,22.51,22.538,74801,0
20130111,22.555,22.591,22.52,22.538,82306,0
20130114,22.538,22.555,22.475,22.475,110038,0
20130115,22.51,22.52,22.467,22.493,170425,0
20130116,22.475,22.51,22.457,22.475,100879,0
20130117,22.52,22.61,22.483,22.61,122177,0
20130118,22.61,22.636,22.582,22.636,152269,0
20130122,22.644,22.663,22.582,22.6,109879,0
20130123,22.644,22.653,22.439,22.502,132605,0
20130124,22.555,22.61,22.483,22.61,104275,0
20130125,22.61,22.626,22.547,22.564,73602,0
20130128,22.61,22.61,22.529,22.529,214434,0
20130129,22.555,22.555,22.448,22.448,90737,0
20130130,22.475,22.547,22.395,22.475,64388,0
20130131,22.493,22.493,22.386,22.386,93104,0
20130201,22.51,22.51,22.439,22.51,129688,0
20130204,22.547,22.547,22.467,22.51,89445,0
20130205,22.52,22.547,22.51,22.547,89805,0
20130206,22.547,22.547,22.483,22.538,80288,0
20130207,22.547,22.547,22.483,22.51,39142,0
20130208,22.555,22.564,22.51,22.52,51329,0
20130211,22.564,22.6,22.52,22.573,99905,0
20130212,22.644,22.653,22.547,22.618,63995,0
20130213,22.626,22.691,22.591,22.691,44220,0
20130214,22.698,22.715,22.591,22.663,313666,0
20130215,22.698,22.698,22.61,22.636,30518,0
20130219,22.672,22.734,22.663,22.691,128501,0
20130220,22.769,22.779,22.653,22.715,80766,0
20130221,22.734,22.769,22.663,22.691,179883,0
20130222,22.762,22.769,22.681,22.743,253308,0
20130225,22.743,22.939,22.743,22.806,71738,0
20130226,22.779,22.886,22.734,22.779,79191,0
20130227,22.877,22.877,22.769,22.787,57171,0
20130228,22.858,22.858,22.762,22.787,64223,0
20130301,22.855,22.883,22.774,22.838,35500,0
20130304,22.902,22.902,22.748,22.811,764842,0
20130305,22.82,22.855,22.792,22.811,66234,0
20130306,22.919,22.955,22.792,22.811,197003,0
20130307,22.855,22.892,22.783,22.783,74507,0
20130308,22.783,22.829,22.701,22.738,87832,0
20130311,22.765,22.765,22.675,22.711,43490,0
20130312,22.765,22.902,22.656,22.684,212986,0
20130313,22.765,22.765,22.666,22.693,128815,0
20130314,22.675,22.846,22.675,22.811,83253,0
20130315,22.838,22.838,22.693,22.729,78824,0
20130318,22.792,22.82,22.748,22.811,27032,0
20130319,22.846,22.846,22.748,22.748,50610,0
20130320,22.829,22.883,22.765,22.883,94043,0
20130321,22.855,22.855,22.729,22.729,129585,0
20130322,22.774,22.838,22.765,22.783,44658,0
20130325,22.864,22.864,22.783,22.82,38174,0
20130326,22.855,22.855,22.783,22.792,51078,0
20130327,22.783,22.883,22.774,22.792,110168,0
20130328,22.846,22.946,22.838,22.892,56622,0
20130401,22.937,22.965,22.911,22.965,25810,0
20130402,23.072,23.072,22.974,23.009,202651,0
20130403,23.072,23.072,23,23.055,56326,0
20130404,23.055,23.119,23.018,23.119,39639,0
20130405,23.119,23.128,23.047,23.081,27952,0
20130408,23.144,23.144,23.047,23.072,25246,0
20130409,23.128,23.128,22.991,23.081,70074,0
20130410,23.11,23.154,23.018,23.1,92439,0
20130411,23.119,23.163,23.063,23.128,32786,0
20130412,23.154,23.154,23.028,23.028,36982,0
20130415,23.072,23.144,23.063,23.128,41876,0
20130416,23.144,23.144,23.063,23.128,27222,0
20130417,23.135,23.163,23.072,23.119,43913,0
20130418,23.144,23.154,23.047,23.091,76025,0
20130419,23.128,23.154,22.846,22.846,131049,0
20130422,23.009,23.009,22.838,22.874,104082,0
20130423,22.902,22.965,22.902,22.902,85644,0
20130424,22.955,22.991,22.937,22.991,65081,0
20130425,23.018,23.037,22.991,23.028,31824,0
20130426,23.055,23.091,23.018,23.091,39876,0
20130429,23.1,23.144,23.063,23.063,52348,0
20130430,23.154,23.207,23.1,23.192,138717,0
20130501,23.192,23.28,23.144,23.264,53123,0
20130502,23.299,23.489,23.28,23.453,101242,0
20130503,23.535,23.579,23.4,23.571,54720,0
20130506,23.671,23.671,23.444,23.489,78877,0
20130507,23.489,23.689,23.481,23.689,531638,0
20130508,23.579,23.825,23.579,23.779,309058,0
20130509,23.788,23.806,23.579,23.706,78412,0
20130510,23.617,23.697,23.535,23.671,310212,0
20130513,23.689,23.689,23.444,23.535,73176,0
20130514,23.589,23.624,23.353,23.552,63493,0
20130515,23.589,23.589,23.371,23.409,54629,0
20130516,23.526,23.535,23.409,23.453,59600,0
20130517,23.516,23.579,23.472,23.535,21074,0
20130520,23.498,23.598,23.463,23.552,168204,0
20130521,23.617,23.617,23.516,23.544,62055,0
20130522,23.598,23.643,23.544,23.561,89209,0
20130523,23.535,23.571,23.4,23.571,32629,0
