Date,Open,High,Low,Close,Volume,OpenInt
20140618,23,23.4,20.64,21.25,4241818,0
20140619,21.37,21.76,21.03,21.2,220650,0
20140620,21.2,21.41,20.75,21,77110,0
20140623,21,21.02,20.55,20.74,145652,0
20140624,20.55,21.76,20.55,21.5,227120,0
20140625,21.31,21.82,21.01,21.82,37780,0
20140626,21.72,22.1,21.01,21.94,235729,0
20140627,22.17,22.19,21.3,22,90055,0
20140630,21.9,22.29,21.45,22.15,50154,0
20140701,22.25,22.78,21.79,22.5,109773,0
20140702,22.44,22.84,22,22.65,32700,0
20140703,22.65,23.34,21.57,22.99,63339,0
20140707,22.86,22.99,22.25,22.47,106974,0
20140708,22.31,22.52,22.01,22.06,40560,0
20140709,22.02,22.44,21.86,21.96,50010,0
20140710,21.82,21.82,21.13,21.56,71258,0
20140711,21.59,22.4,21.5,21.85,43279,0
20140714,22.04,22.04,21.44,21.95,134142,0
20140715,21.96,22.25,21.62,21.87,42650,0
20140716,21.88,22.1,21.05,21.6,36802,0
20140717,21.58,21.86,20.25,20.57,40563,0
20140718,20.7,21.1,20.51,21.1,22736,0
20140721,21.14,21.14,20.37,20.9,63525,0
20140722,20.92,21.63,20.75,21.13,44390,0
20140723,21.23,21.52,20.81,21.28,48296,0
20140724,21.22,22,21.1,21.46,72245,0
20140725,21.61,21.76,20.91,21.24,30266,0
20140728,20.87,21.17,19.64,20.33,114288,0
20140729,20.68,20.68,19.52,19.85,48263,0
20140730,20.03,20.42,19.16,19.49,86301,0
20140731,19.49,19.53,18.86,19.07,124797,0
20140801,19.25,19.76,18.99,19.35,50674,0
20140804,19.48,19.58,19.15,19.25,41951,0
20140805,19.31,19.45,19.01,19.21,24009,0
20140806,19.15,19.69,19.03,19.35,24931,0
20140807,19.34,19.64,18.9,19.01,86682,0
20140808,19.46,20.2,19.41,19.77,90874,0
20140811,19.77,20.04,19.6,19.78,41181,0
20140812,19.99,19.99,19.29,19.6,42303,0
20140813,19.69,20.04,19.5,19.81,31493,0
20140814,19.75,19.99,19.31,19.8,61817,0
20140815,19.78,19.99,19.15,19.59,70390,0
20140818,19.53,21.05,19.53,21.03,46708,0
20140819,21.03,21.74,20.9,21.47,83530,0
20140820,21.33,21.74,21.18,21.31,37205,0
20140821,21.36,21.5,20.8,21.08,50810,0
20140822,20.9,21.05,20.28,20.49,38667,0
20140825,20.68,21.25,20.26,20.62,41245,0
20140826,20.5,20.5,19.92,20.03,37212,0
20140827,20.12,20.2,19.72,19.86,23442,0
20140828,20,20.41,19.83,20,29148,0
20140829,20.4,20.5,20.02,20.19,18239,0
20140902,20.3,20.3,19.68,19.85,89828,0
20140903,20,20.06,19.21,19.72,74975,0
20140904,19.93,20.06,19.39,19.61,94994,0
20140905,19.56,19.81,19.4,19.61,44545,0
20140908,19.8,19.85,19.4,19.68,34411,0
20140909,19.83,19.99,19.42,19.62,45671,0
20140910,19.67,19.98,19.41,19.59,60570,0
20140911,19.5,19.59,18.81,19.4,115266,0
20140912,19.22,19.66,18.91,19.18,85716,0
20140915,19.18,19.18,18.6,18.91,48248,0
20140916,18.99,19.1,18.81,19,28383,0
20140917,19.14,19.81,18.98,19,125111,0
20140918,18.97,19.51,18.94,19.2,108196,0
20140919,19.03,19.72,18.65,18.72,178392,0
20140922,18.77,18.89,18.11,18.28,115259,0
20140923,18.13,18.33,17.82,17.94,103301,0
20140924,17.87,18.04,17.66,17.78,85533,0
20140925,17.66,17.88,17.19,17.45,88464,0
20140926,17.52,18.37,17.51,18.21,41315,0
20140929,18.2,18.27,17.64,17.76,46508,0
20140930,17.8,17.93,17.25,17.35,570316,0
20141001,17.25,17.43,16.23,16.93,125041,0
20141002,17.06,17.68,16.6,17.31,250008,0
20141003,17.49,17.49,16.92,17.12,78823,0
20141006,17,17.29,16.57,16.69,61396,0
20141007,16.51,16.74,16.21,16.23,51493,0
20141008,16.33,16.64,15.98,16.59,35191,0
20141009,16.61,16.86,16.47,16.56,36034,0
20141010,16.49,16.66,16.2,16.3,36977,0
20141013,16.26,16.46,15.66,15.74,57738,0
20141014,15.85,16.37,15.85,16.07,103137,0
20141015,15.76,16.33,15.48,15.96,831300,0
