Date,Open,High,Low,Close,Volume,OpenInt
20100825,23.014,23.15,22.914,22.969,61536,0
20100826,23.131,23.131,22.969,22.969,37286,0
20100827,23.096,23.105,23.014,23.087,18730,0
20100830,23.096,23.105,23.033,23.105,13359,0
20100831,23.115,23.196,23.059,23.196,52128,0
20100901,23.196,23.204,23.096,23.096,10244,0
20100902,23.105,23.251,23.077,23.187,14540,0
20100903,23.26,23.295,23.15,23.286,10024,0
20100907,23.295,23.295,23.115,23.196,7929,0
20100908,23.223,23.232,23.077,23.105,14980,0
20100909,23.15,23.15,23.105,23.105,3415,0
20100910,23.15,23.241,23.15,23.241,10904,0
20100913,23.277,23.295,23.213,23.286,14760,0
20100914,23.295,23.55,23.286,23.513,11374,0
20100915,23.469,23.469,23.213,23.241,30595,0
20100916,23.223,23.223,23.105,23.196,5497,0
20100917,23.105,23.141,22.842,23.059,15972,0
20100920,23.187,23.213,22.978,23.059,8888,0
20100921,23.141,23.15,23.068,23.105,9579,0
20100922,23.096,23.096,22.815,23.023,36172,0
20100923,22.951,23.005,22.878,22.923,23082,0
20100924,22.96,22.96,22.897,22.923,4570,0
20100927,22.923,23.042,22.923,23.042,9053,0
20100928,23.014,23.232,22.923,23.15,14376,0
20100929,23.15,23.15,22.969,23.059,16703,0
20100930,23.096,23.15,22.986,23.105,7700,0
20101001,23.014,23.105,23.014,23.105,1763,0
20101004,23.105,23.105,22.923,23.005,13933,0
20101005,22.978,23.005,22.923,22.923,10779,0
20101006,22.995,22.995,22.923,22.951,7160,0
20101007,23.014,23.131,22.969,23.123,13098,0
20101008,23.115,23.131,23.068,23.068,2043,0
20101011,23.115,23.15,23.115,23.15,4344,0
20101012,23.15,23.15,22.986,23.131,4847,0
20101013,23.123,23.15,23.096,23.15,10020,0
20101014,23.15,23.15,22.887,22.914,24950,0
20101015,22.941,22.969,22.85,22.969,14098,0
20101018,22.969,22.969,22.887,22.914,7849,0
20101019,22.969,23.005,22.906,22.932,14862,0
20101020,23.014,23.15,23.014,23.15,8185,0
20101021,23.15,23.187,23.105,23.105,8490,0
20101022,22.995,23.105,22.995,23.059,5809,0
20101025,23.123,23.15,22.906,22.932,23627,0
20101026,23.014,23.187,23.014,23.033,16334,0
20101027,23.15,23.196,23.096,23.096,10488,0
20101028,23.141,23.141,23.105,23.105,1652,0
20101029,23.105,23.15,23.105,23.115,6466,0
20101101,23.187,23.187,22.951,23.131,10978,0
20101102,23.15,23.196,23.014,23.15,17085,0
20101103,23.204,23.204,23.042,23.15,15425,0
20101104,23.105,23.196,23.105,23.15,9453,0
20101105,23.213,23.404,23.15,23.251,11142,0
20101108,23.15,23.241,23.059,23.059,10333,0
20101109,23.077,23.687,23.059,23.141,7628,0
20101110,23.068,23.141,22.969,23.05,15636,0
20101111,23.014,23.15,23.014,23.15,5070,0
20101112,23.123,23.15,23.123,23.15,8923,0
20101115,23.105,23.15,23.042,23.059,7433,0
20101116,23.068,23.187,23.014,23.15,19228,0
20101117,23.15,23.15,23.059,23.105,5026,0
20101118,23.105,23.105,23.014,23.105,5533,0
20101119,23.014,23.059,23.014,23.014,5463,0
20101122,23.05,23.05,22.969,22.978,9202,0
20101123,22.978,23.105,22.951,23.096,8626,0
20101124,23.105,23.105,23.105,23.105,2615,0
20101129,23.105,23.105,23.059,23.059,10464,0
20101130,23.059,23.105,23.059,23.105,8291,0
20101201,23.059,23.096,22.978,23.068,4395,0
20101202,23.059,23.105,23.059,23.105,27381,0
20101203,23.105,23.105,23.059,23.059,2649,0
20101206,23.105,23.105,23.068,23.068,2093,0
20101207,23.105,23.105,23.059,23.105,5732,0
20101208,23.077,23.105,23.077,23.105,8114,0
20101209,23.105,23.105,23.059,23.105,2635,0
20101210,23.105,23.105,22.986,22.986,2455,0
20101213,23.033,23.105,23.033,23.105,5286,0
20101214,23.105,23.141,22.951,22.951,15333,0
20101215,22.696,22.796,22.651,22.651,17694,0
20101216,22.696,24.875,22.696,22.869,8470,0
20101217,22.705,22.723,22.615,22.688,6707,0
20101220,22.66,22.696,22.66,22.696,7956,0
20101221,22.733,22.733,22.705,22.705,1059,0
20101222,22.777,22.777,22.777,22.777,430,0
20101223,22.787,22.787,22.696,22.696,2448,0
20101227,22.705,22.705,22.606,22.615,10212,0
20101228,22.669,22.696,22.669,22.696,4958,0
20101229,22.696,22.733,22.696,22.733,5477,0
20101230,22.696,22.696,22.606,22.641,7032,0
20101231,22.597,22.688,22.597,22.597,5485,0
20110103,22.651,22.777,22.651,22.777,4099,0
20110104,22.777,22.824,22.696,22.696,1569,0
20110105,22.777,23.059,22.777,23.059,3636,0
20110106,22.787,22.787,22.787,22.787,991,0
20110107,23.05,23.05,23.042,23.042,1306,0
20110110,22.897,23.05,22.878,23.05,4330,0
20110111,22.923,22.923,22.833,22.914,9032,0
20110113,22.923,23.005,22.632,22.714,3471,0
20110114,22.978,23.05,22.969,23.023,7732,0
20110118,23.059,23.059,22.761,22.805,5663,0
20110119,22.878,22.878,22.859,22.869,2468,0
20110120,22.833,22.833,22.833,22.833,1212,0
20110121,22.897,23.05,22.833,23.05,5963,0
20110124,22.796,23.05,22.777,23.05,4042,0
20110125,23.295,23.295,22.878,22.887,4297,0
20110126,23.115,23.286,22.197,22.969,9471,0
20110127,22.833,22.969,22.787,22.815,6586,0
20110128,22.842,22.978,22.815,22.815,1542,0
20110131,22.878,23.023,22.824,22.96,5317,0
20110201,23.068,23.068,22.859,23.068,2169,0
20110202,23.059,23.059,22.969,22.969,1212,0
20110203,22.878,23.042,22.761,22.878,18037,0
20110204,22.951,22.951,22.796,22.833,10153,0
20110207,22.824,22.833,22.761,22.761,7710,0
20110208,22.833,22.833,22.769,22.833,4043,0
20110209,22.761,22.796,22.679,22.796,12975,0
20110210,22.696,22.787,22.696,22.777,7655,0
20110211,22.787,22.787,22.679,22.679,8702,0
20110214,22.787,22.833,22.723,22.833,9888,0
20110215,22.769,22.969,22.751,22.969,3966,0
