Date,Open,High,Low,Close,Volume,OpenInt
20140521,24.29,24.5,24.26,24.482,9248,0
20140522,24.405,24.567,24.405,24.567,13740,0
20140523,24.567,24.567,24.567,24.567,498,0
20140527,24.557,24.557,24.557,24.557,105,0
20140528,24.597,24.615,24.462,24.5,7681,0
20140529,24.462,24.624,24.442,24.624,6212,0
20140530,24.452,24.452,24.28,24.375,2241,0
20140602,24.519,24.519,24.405,24.415,6587,0
20140603,24.452,24.482,24.395,24.472,11796,0
20140604,24.347,24.415,24.347,24.415,5120,0
20140605,24.433,24.482,24.433,24.482,4103,0
20140606,24.491,24.491,24.491,24.491,323,0
20140609,24.405,24.491,24.405,24.491,2654,0
20140610,24.415,24.415,24.405,24.405,418,0
20140611,24.491,24.491,24.491,24.491,675,0
20140613,24.405,24.5,24.367,24.452,5603,0
20140616,24.5,24.5,24.5,24.5,208,0
20140617,24.452,24.529,24.452,24.529,5358,0
20140618,24.548,24.557,24.51,24.548,20145,0
20140619,24.634,24.644,24.567,24.567,4023,0
20140623,25.141,25.141,24.557,24.557,1045,0
20140624,24.605,24.835,24.452,24.644,5298,0
20140626,24.605,24.883,24.605,24.883,2403,0
20140627,25.068,25.068,24.798,24.798,2481,0
20140630,24.914,25.02,24.856,24.904,6718,0
20140702,25.001,25.001,24.943,24.962,1654,0
20140703,24.904,25.01,24.575,25.01,3721,0
20140707,25.01,25.01,24.991,25.01,19896,0
20140708,25.01,25.02,25.01,25.01,2532,0
20140711,25.204,25.204,25.194,25.194,2093,0
20140714,25.204,25.204,24.546,24.759,2274,0
20140715,24.846,24.865,24.846,24.865,4858,0
20140716,25.156,25.194,25.156,25.194,1034,0
20140717,25.126,25.184,25.126,25.156,8773,0
20140722,24.846,24.914,24.827,24.827,3101,0
20140723,24.865,24.865,24.865,24.865,517,0
20140724,24.846,24.865,24.846,24.865,414,0
20140725,25.146,25.146,25.117,25.117,917,0
20140729,24.643,24.952,24.623,24.952,2729,0
20140730,24.701,24.952,24.643,24.643,2539,0
20140801,24.595,24.991,24.401,24.991,9923,0
20140804,24.575,24.575,24.575,24.575,104,0
20140805,24.623,24.865,24.623,24.865,13850,0
20140806,24.643,24.952,24.643,24.933,14056,0
20140807,24.952,24.952,24.836,24.904,1220,0
20140808,24.914,24.914,24.885,24.885,3095,0
20140812,24.856,24.856,24.856,24.856,646,0
20140813,24.807,24.817,24.72,24.817,2997,0
20140814,24.817,24.817,24.72,24.817,16123,0
20140815,24.807,24.817,24.623,24.691,12622,0
20140818,24.72,24.914,24.72,24.914,2468,0
20140819,24.749,24.817,24.701,24.807,3476,0
20140820,24.701,25.059,24.701,25.059,3286,0
20140821,24.817,25.01,24.817,24.952,5553,0
20140825,24.952,24.952,24.769,24.769,44877,0
20140826,24.807,24.817,24.807,24.817,620,0
20140827,24.807,24.807,24.807,24.807,1240,0
20140828,24.846,24.865,24.749,24.817,6098,0
20140829,24.749,24.807,24.72,24.72,7648,0
20140902,24.817,24.846,24.537,24.537,11028,0
20140903,24.623,24.623,24.585,24.585,930,0
20140904,24.72,24.72,24.575,24.575,8809,0
20140905,24.527,24.623,24.527,24.623,52712,0
20140908,24.575,24.691,24.575,24.691,51678,0
20140909,24.604,24.643,24.595,24.595,4031,0
20140910,24.411,24.479,24.372,24.479,20992,0
20140911,24.527,24.527,24.527,24.527,1757,0
20140912,24.439,24.497,24.391,24.459,1581,0
20140915,24.459,24.527,24.381,24.527,9923,0
20140916,24.507,24.527,24.479,24.488,7519,0
20140917,24.517,24.527,24.43,24.469,11550,0
20140918,24.517,24.575,24.517,24.565,7338,0
20140919,24.585,24.585,24.546,24.546,2791,0
20140922,24.72,24.73,24.623,24.73,9675,0
20140923,24.846,24.856,24.72,24.856,4904,0
20140924,24.749,25.107,24.749,24.769,6170,0
20140926,24.769,24.962,24.769,24.962,1757,0
20140929,25.198,25.228,25.001,25.228,14940,0
20140930,25.218,25.237,25.188,25.188,5056,0
20141001,25.365,25.444,25.188,25.355,5183,0
20141002,25.385,25.582,25.336,25.385,4472,0
20141003,25.434,25.582,25.188,25.188,4778,0
20141006,25.237,25.237,25.237,25.237,112,0
20141007,25.208,25.287,25.208,25.287,609,0
20141008,25.287,25.287,25.287,25.287,508,0
20141010,25.198,25.533,25.09,25.326,75969,0
20141013,25.424,25.464,25.424,25.464,1118,0
20141014,25.316,25.365,24.972,25.365,156416,0
20141015,25.188,25.188,25.188,25.188,25409,0
20141016,25.188,25.198,25.09,25.129,33588,0
20141017,25.09,25.336,25.09,25.188,5617,0
20141020,25.385,25.483,25.385,25.483,8177,0
20141022,25.483,25.483,25.483,25.483,711,0
20141023,25.483,25.483,25.05,25.464,2797,0
20141027,25.385,25.454,25.385,25.454,1931,0
20141028,25.474,25.483,25.218,25.218,3569,0
20141029,25.139,25.139,25.129,25.129,1321,0
20141030,25.139,25.139,25.139,25.139,2128,0
20141031,25.385,25.395,25.385,25.395,1220,0
20141103,25.454,25.483,25.434,25.434,1321,0
20141104,25.434,25.483,25.228,25.483,5498,0
20141105,25.542,25.542,25.533,25.542,203,0
20141106,25.542,25.68,25.542,25.68,254,0
20141110,25.828,26.27,25.828,26.211,1077,0
20141111,25.926,25.926,25.611,25.631,1633,0
20141112,25.68,25.926,25.68,25.926,884,0
20141113,25.926,25.926,25.346,25.365,5205,0
20141114,25.454,25.454,25.257,25.316,3353,0
20141117,25.474,25.719,25.474,25.582,2218,0
20141119,25.306,25.306,25.306,25.306,1016,0
20141120,25.414,25.414,25.405,25.414,2005,0
20141124,25.257,25.346,25.218,25.237,8661,0
20141125,25.247,25.296,25.247,25.267,2131,0
20141126,25.336,25.582,25.326,25.346,3055,0
20141201,25.493,25.592,25.385,25.434,1433,0
20141202,25.474,25.474,25.474,25.474,112,0
20141204,25.385,25.385,25.385,25.385,1213,0
20141205,25.523,25.523,25.523,25.523,203,0
20141208,25.533,25.533,25.483,25.483,2643,0
20141210,25.582,25.582,25.582,25.582,1108,0
20141211,25.631,25.788,25.631,25.68,1626,0
20141215,25.729,25.729,25.729,25.729,917,0
20141217,25.719,25.729,25.68,25.68,48166,0
20141218,25.857,25.857,25.818,25.828,1027,0
20141222,25.916,25.916,25.828,25.828,47616,0
20141223,26.28,26.28,26.28,26.28,305,0
20141229,26.28,26.56,26.28,26.52,1900,0
20141230,26.08,26.59,26,26.54,2119,0
20141231,26.01,26.44,26.01,26.12,8900,0
20150105,26.2,26.4,26.2,26.4,5001,0
20150106,26.4,26.5,26.38,26.49,3400,0
20150107,26.56,26.6,26.55,26.58,5250,0
20150108,26.85,27.04,25.82,25.82,5034,0
20150109,26.09,26.6,26.09,26.5,1502,0
20150112,26.5,26.65,26.5,26.6,3660,0
20150113,26.6,26.6,26.6,26.6,3000,0
20150114,26.57,26.57,26.31,26.31,210,0
20150115,26.25,26.6,26.25,26.6,4589,0
20150116,26.7,26.7,26.7,26.7,200,0
